,Name,address,latitude,longitude
0,World Class,"ул. Дмитрия Донского, 19",54.715080016626,20.486490009579
1,West Kings,"ул. Мусоргского, 10, корп. 5",54.726540006104,20.503880027916
2,ВИВА,"ул. Олега Кошевого, 33",54.670789998337,20.513379993156
3,Re-форма,"ул. Ульяны Громовой, 66, Ульяны Громовой, 66 (вход слева с торца, ), этаж 2",54.666210000713,20.499439966166
4,Геркулес Max,"ул. Аксакова, 137, этаж цокольный",54.711559994478,20.585699975763
5,NEWFitness,"ул. Генерала Челнокова, 25, этаж 3",54.739720978712,20.48585383158
6,Xfit,"Бассейная ул., 46",54.720318229483,20.453037558813
7,Титан,"Московский просп., 48А, этаж 6",54.709190011355,20.503720017385
8,Победа 33,"просп. Победы, 33",54.715890001839,20.467949994126
9,Egoiste,"ул. 9 Апреля, 88А, этаж 2",54.719140000976,20.525719998649
10,State of Fitness,"Артиллерийская ул., 34",54.730310018514,20.542299989863
11,Grif,"ул. 1812 года, 126, этаж цокольный",54.711149993684,20.536749996495
12,Альбатрос Восток,"Московский просп., 273",54.705998367377,20.58956447931
13,Ufit,"ул. Фрунзе, 51, этаж 2",54.712839994911,20.526430029667
14,Атлетика,"ул. Дзержинского, 168Е",54.670520017236,20.544869965196
15,Чемпион,"ул. Юрия Гагарина, 1, этаж 2",54.715260017996,20.536670033139
16,Profitness,"ул. Профессора Баранова, 36, этаж 1, 2",54.720780004152,20.504700029504
17,Сириус,"ул. Литовский Вал, 36",54.718209986909,20.530170034864
18,Oberteich,"ул. Гоголя, 17",54.732020010581,20.52260000283
19,Lift Gym,"Нарвская ул., 54, корп. 5, этаж 3",54.731380010364,20.500500025461
20,Альбатрос-Север,"ул. Гайдара, 136",54.743820011962,20.50953001739
21,Оазис,"Малый пер., 15",54.702159983433,20.511979963869
22,Profitness,"ул. Согласия, 44А, этаж 2",54.74948001781,20.488529997174
23,Адреналин,"ул. Юрия Гагарина, 55А",54.722760019229,20.544149959713
24,Чемпион,"ул. Александра Суворова, 46А",54.692949990133,20.469459993983
25,Profitness,"ул. Менделеева, 61А, этаж 1",54.72284999896,20.437880000303
26,Plachinta Gym,"ул. Аллея Смелых, 20В",54.691295515701,20.523591444934
27,Альбатрос-Запад,"ул. Чекистов, 81А",54.731350003151,20.46699998922
28,Альбатрос-Юг,"Товарный пер., 5",54.681129997913,20.498890029499
29,Non Stop,"ул. Фрунзе, 6, этаж 2",54.711559994478,20.521659972389
30,Kalina Fit,"Ленинский просп., 155А, этаж цокольный",54.696060011487,20.50254998752
31,Инфинити,"Ленинский просп., 67Б, ТЦ Меркурий, этаж 3, офис 301",54.712909983803,20.507939970357
32,Art Jungle,"ул. Молочинского, 4",54.734569995075,20.479439990818
33,Profitness Plus - Артиллерийская,"Артиллерийская ул., 22",54.732100015847,20.539899999527
