,Name,address,latitude,longitude
0,World Class,"ул. Дмитрия Донского, 19",54.715080016626,20.486490009579
1,ВИВА,"ул. Олега Кошевого, 33",54.670789998337,20.513379993156
2,Юность,"ул. Маршала Баграмяна, 2",54.707450012075,20.504089994591
3,Дворец спорта,"ул. Горького, 87",54.732619987211,20.508919982477
4,Посейдон,"ул. Гайдара, 136",54.743820011962,20.50953001739
5,Альбатрос-Север,"Товарный пер., 5",54.681129997913,20.498890029499
6,Альбатрос-Юг,"Бассейная ул., 46",54.720318229483,20.453037558813
7,Xfit,"ул. Петра Панина, 8, Ленинградский район, микрорайон Сельма, этаж цокольный",54.746749990036,20.493819983906
8,Аквапузики,"ул. Олега Кошевого, 13, этаж цокольный",54.674310020485,20.513140019268
9,Аквасфера,"Московский просп., 273",54.705998367377,20.58956447931
10,Альбатрос Восток,"ул. Чекистов, 81А",54.731350003151,20.46699998922
11,Альбатрос-Запад,"ул. Рокоссовского, 18",54.718669985756,20.509920027344
12,ЦСКА,"просп. Калинина, 6",54.695338218015,20.520753381348
13,Центр спорта,"Октябрьская ул., 6",54.703569987185,20.515619972961
14,Амбер СПА,"Красносельская ул., 82, корп. 2",54.719129984602,20.447409972757
15,Аквабэбики,"ул. Александра Невского, 14, корп. 3",54.723500015551,20.533539979036
16,БФУ Корпус № 22,"ул. Лейтенанта Князева, 58",54.742269988517,20.527079962439
17,Лови волну,"ул. Горького, 87",54.732619987211,20.508919982477
18,Бассейн,"ул. Толбухина, 6, помещение 12",54.706749997431,20.570490006623
19,Хэппи сплеш,"ул. Дзержинского, 208А",54.665165729437,20.541366356745
20,Янтарные моржи,"ул. Александра Невского, 14В",54.72303000033,20.527940029524
21,Бассейн,"ул. Рокоссовского, 18",54.718669985756,20.509920027344
22,Бассейн,"ул. Солженицына, 13",54.747719985781,20.457089981277
23,Поколение Kids,"ул. Гоголя, 17, Калининград",54.732020010581,20.52260000283
24,Bathhouse,"ул. Александра Невского, 14В, Калининград",54.72303000033,20.527940029524
25,Oberteich,"ул. Генерала Буткова, 21, Калининград, Район Ленинградский",54.708739986973,20.49538999819
26,Поколение Kids,"Спортивная ул., 66, Калининград",54.731940005315,20.458529992243
27,Бордо,"ул. Александра Невского, 14, корп. 3, Калининград",54.723500015551,20.533539979036
28,Акваангел,"Чувашская ул., 5А, Калининград, район Ленинградский",54.724279993551,20.550379976886
29,Обучение спортивному плаванию детей и взрослых,"Тихоокеанская ул., 5, Калининград",54.720249819628,20.354724257187
30,Банька на Чувашской,"просп. Победы, 70А, Калининград",54.713479995128,20.45054002686
31,Поколение Kids,"Калининградская ул., 35А, посёлок Большое Исаково",54.722240005956,20.599170029442
32,Реацентр,"Судостроительная ул., 13А, Калининград",54.681700009239,20.488490015496
33,Эра СПА,"Холмогорская ул., 34, Калининград",54.704129982136,20.572429998113
34,Берлога,"Калининградское ш., 15, Гурьевск",54.668459996892,20.429349988899
35,Агидель,"просп. Калинина, 6, Калининград",54.695470009323,20.506329974395
36,La Belle,"Калужская ул., 20, Калининград",54.729850019668,20.49945002445
37,Поколение Kids,"Магнитогорская ул., 7, Калининград",54.724260002712,20.332549987516
38,Алые паруса,"ул. Литовский Вал, 40, корп. 2, Калининград",54.715150005517,20.533760003994
39,Детский бассейн,"Автомобильная ул., 24, Калининград",54.674159984418,20.488360012178
