,Name,address,latitude,longitude
0,Квест центр,"ул. Тенистая Аллея, 28, Калининград, Россия",55.91417,37.82556
1,Квестополис,"ул. Мусоргского, 19, этаж цокольный",54.728030015122,20.50060999603
2,Онмозгофф,"Ленинский просп., 1, этаж 5",54.719200015403,20.500059975544
3,Квестополис,"ул. Литовский Вал, 87Б, этаж 1",54.708029997865,20.540490001692
4,Склад квестов,"Клиническая ул., 83",54.720370003358,20.522790020575
5,Форт Боярд,"ул. Дзержинского, 31",54.69649000312,20.523729967197
6,Твой квест,"Коммунальная ул., 4, этаж -1",54.722170017065,20.470070028896
7,Квесты на Литовском,"ул. Литовский Вал, 87Б",54.708029997865,20.540490001692
8,Форт Боярд,"ул. Горького, 83",54.73049999435,20.507850032536
9,Квестория,"Больничная ул., 42, офис 211",54.711600018065,20.503009986367
10,Cosmoквест,"ул. Чкалова, 2",54.723359995858,20.459849974355
11,Лаборатория квестов,"Гвардейский просп., 22",54.713390015398,20.490680039157
12,Юный гид,"Московский просп., 62",54.70830999534,20.519199967626
13,Форт Боярд,"Ялтинская ул., 66, этаж 3",54.704359981559,20.554690035318
14,Zaga-Game,"ул. Маршала Жукова, 3, этаж 2",54.750184691976,20.491586263793
15,Вандерлэнд,"ул. Аксакова, 137",54.711559994478,20.585699975763
16,Anvio,"Московский просп., 257, этаж 3",54.707969983438,20.580950035053
17,Wonderland,"ул. Гайдара, 116, этаж цокольный",54.742740003738,20.500770006562
