,Name,address,latitude,longitude
0,Калининградская областная научная библиотека,"просп. Мира, 11",54.71945998013,20.495210038729
1,Центральная городская библиотека имени А. П. Чехова,"Московский просп., 39, этаж 2",54.710190014313,20.504860040036
2,Калининградская областная детская библиотека им. А. П. Гайдара,"просп. Мира, 62",54.721539991312,20.481570000053
3,Библиотека им. космонавта А. А. Леонова Калининградской ЦБС,"ул. Гайдара, 87",54.73688000568,20.494460026032
4,Городская юношеская библиотека Калининградской ЦБС,"ул. 9 Апреля, 1",54.716968282876,20.523714513894
5,Библиотека им. С. Снегова Калининградской ЦБС,"ул. Богдана Хмельницкого, 29",54.697240015817,20.505539980021
6,Калининградская областная юношеская библиотека им. в. Маяковского,"ул. Грига, 14",54.711420016695,20.531369988123
7,Детская библиотека им. Г. Х. Андерсена Калининградской ЦБС,"ул. Лермонтова, 8",54.734109996229,20.522699998935
8,Библиотека им. М. Горького Калининградской ЦБС,"Черниговская ул., 35А",54.68643000102,20.529590007164
9,Детская библиотека имени А. П. Соболева Калининградской ЦБС,"ул. Космонавта Леонова, 72",54.734790020033,20.481709977836
10,Детская библиотека им. Иванова Ю. Н. Калининградской ЦБС,"ул. Сержанта Щедина, 19",54.675870018395,20.498279994586
11,Библиотека им. С. Х Симкина,"Бакинская ул., 13, этаж 1",54.7074399957,20.563319959009
12,Библиотека им. В. С. Высоцкого Калининградской ЦБС,"ул. Павлика Морозова, 2А",54.680930005704,20.471810028177
13,Центральная детская библиотека им. С. В. Михалкова Калининградской ЦБС,"ул. Лермонтова, 8",54.734109996229,20.522699998935
14,Детская библиотека № 14 Калининградской ЦБС,"ул. Маршала Новикова, 12",54.679470003899,20.4798900152
15,Библиотека имени А. С. Пушкина Калининградской ЦБС,"ул. Дзержинского, 128",54.685210015013,20.533079980189
16,Библиотека им. Е. А. Зиборова Калининградской ЦБС,"Машиностроительная ул., 166",54.677810009885,20.511100031673
17,Детская библиотека № 18 Калининградской ЦБС,"Можайская ул., 65",54.676869979443,20.442349985448
18,Библиотека № 11 Калининградской ЦБС,"ул. Герцена, 54",54.750990017667,20.531920008609
19,Библиотека им. А. И. Герцена,"ул. Тельмана, 28, этаж 1",54.734580011449,20.522379977872
20,Библиотека-музей советской книги Калининградской ЦБС,"Университетская ул., 2",54.713829981496,20.509509984641
21,Научная библиотека Российский Государственный университет им. Иммануила Канта,"ул. Сергеева, 10, комната 38, этаж 3",54.717590019441,20.518169999364
22,Библиотека,"ул. Беланова, 31, микрорайон Чкаловск",54.769839995899,20.446670018344
23,Библиотека микрорайона Чкаловск г. Калининграда,"Ангарская ул., 27",54.67238000346,20.525399977586
24,"Калининградская ЦБС, библиотека № 7","Советский просп., 1",54.720630009994,20.497949999058
25,Калининградская областная специализированная библиотека для слепых,"ул. Горького, 23, этаж 2",54.726169986989,20.509119974686
26,Библиотека КГТУ,"Краснооктябрьская ул., 9, этаж 2",54.702410015605,20.507140001518
27,"Читальный зал, БФУ имени Канта","ул. Тенистая Аллея, 37",54.725146554907,20.409967566982
28,Библиотека,"ул. Маршала Новикова, 1",54.68070000628,20.480499966294
29,Православная библиотека,"ул. 9 Апреля, 1",54.716968282876,20.523714513894
