,Name,address,latitude,longitude
0,Дом китобоя,"просп. Мира, 9/11",54.719480012879,20.495520001508
1,ГБУК Музей Янтаря,"площадь Маршала Василевского, 1, Калининград",54.72227001317,20.523020019998
2,Калининградский областной историко-художественный музей,"Клиническая ул., 21",54.713759992604,20.518320035431
3,Блиндаж-бункер Отто Ляша,"Ленинский просп., 65А",54.713030012656,20.509339999645
4,Музей имени И. Канта,"ул. Канта, 1",54.706430018277,20.512150032684
5,Альтес Хаус,"Красная ул., 11, Калининград, офис 1",54.722019980998,20.474210018513
6,Калининградский областной музей изобразительных искусств,"Ленинский просп., 83",54.705150017843,20.506840013204
7,Фридландские ворота,"ул. Дзержинского, 30",54.6956590095,20.521955161096
8,Музей марципана в Бранденбургских воротах,"ул. Багратиона, 137",54.697149994176,20.494760014347
9,Фридрихсбургские ворота,"Портовая ул., 39, Калининград",54.704489984878,20.493350010595
10,Музей Мирового океана,"наб. Петра Великого, 5, Калининград",54.706830002697,20.497359996893
11,Королевские ворота,"ул. Фрунзе, 112",54.713720010926,20.535980034869
12,Бункер,"Университетская ул., 2А",54.712889992964,20.510510029509
13,Музей открыток,"ул. Багратиона, 4, Калининград",54.699130009254,20.517069958391
14,"Историко-художественный музей Форт № 5, филиал","наб. Петра Великого, 9, Калининград",54.706960006015,20.493979994438
15,Подводная лодка Б-413,"Ремонтная ул., 37",54.71121000811,20.455029960934
16,"Музей инклюзов, украшений и изделий из янтаря 50 миллионов лет","Азовская ул., 4, парк Юность",54.728440015916,20.514759989695
17,Калининградский музей марципана,"ул. Канта, 1",54.706430018277,20.512150032684
18,Центр по сохранению исторического наследия Калининградской железной дороги,"ул. Дмитрия Донского, 5",54.715389979405,20.490420032521
19,Музей города Кёнигсберг,"наб. Петра Великого, 1",54.706630010487,20.500570014352
20,Форт № 5,"наб. Петра Великого, 9",54.706960006015,20.493979994438
21,Музей Атлантниро,"Ялтинская ул., 20П, этаж 1",54.705550002263,20.544239981353
22,Научно-исследовательское судно Витязь,"ул. Канта, 1",54.706430018277,20.512150032684
23,Куб воды,"наб. Петра Великого, 1Б",54.706559979686,20.500739999349
24,Интерактивный ретро-музей Bit и pixel,"Советский просп., 120",54.738800006331,20.4793099875
25,Кафедральный собор,"ул. Рокоссовского, 16/18",54.718500000759,20.50924000354
26,Срт-129,"наб. Петра Великого, 1",54.706630010487,20.500570014352
27,Музей Водоканала,"Октябрьская ул., 2А, этаж 4",54.705090003416,20.514469975845
28,Музей почтовых ящиков,"наб. Петра Великого, 1, Калининград, музей Мирового океана",54.706630010487,20.500570014352
29,Космонавт Виктор Пацаев,"ул. Канта, 1",54.706430018277,20.512150032684
30,Музей Балтийского военно-морского института имени адмирала Ф. Ф. Ушакова,"Гвардейский просп., 51А",54.717309031886,20.496165997045
31,Музей Стекла,"ул. Кирова, 7, этаж 2",54.724320017139,20.494349971644
32,Плавучий маяк Ирбенский,"просп. Победы, 5А, этаж 1",54.719111782642,20.473888295412
33,Гидросамолет Бе-12,"Гвардейский просп., 30",54.707209996277,20.489110024874
34,Кафедральный собор,"ул. Александра Невского, 14, БФУ имени Канта",54.724160006607,20.527320020146
35,Железнодорожные ворота,"ул. Богдана Хмельницкого, 29, этаж 1",54.697240015817,20.505539980021
36,Музей боевой славы 11-й гвардейской общевойсковой Краснознаменной армии,"наб. Петра Великого, 5, Комплекс ""Музей мирового океана""",54.706830002697,20.497359996893
37,Балтийский филиал государственного музея изобразительных искусств им. А. С. Пушкина,"просп. Мира, 67",54.720979996361,20.471669966575
38,Музей таможенной службы,"Советский просп., 1",54.720630009994,20.497949999058
39,Музей советского детства,"ул. Кирова, 7, этаж 1",54.724320017139,20.494349971644
40,Музей-квартира первых переселенцев и советского быта 1940,"ул. Сергеева, 14, офис 115, этаж 1",54.719660014249,20.518910037595
41,Пакгауз,"ул. Сергеева, 10, этаж 4, комната 63",54.717590019441,20.518169999364
42,Музей Хранители Памяти,"Харьковская ул., 71",54.7101600071,20.449219960929
43,Гидробиологический музей имени профессора Н.С. Гаевской,"Судостроительная ул., 6",54.6810999907,20.487129967887
44,Бабушкин альбом,"Ленинский просп., 65А",54.713030012656,20.509339999645
45,Музей профсоюзного движения Калининградской области,"Серпуховская ул., 1",54.703429579835,20.503009371769
46,Музей детского движения,"ул. Черняховского, 78А",54.720409985036,20.517740007731
47,Ратсхоф хаус,"Озёрная ул., 31, корп. 1",54.739700013185,20.511690033838
48,The Well — Музей-кофейня,"ул. Фрунзе, 105",54.713670012873,20.533609967927
