,Name,address,latitude,longitude
0,Детская музыкальная школа им. Шостаковича,"Комсомольская ул., 21",54.723839985544,20.478450004234
1,Детская музыкальная школа им. Р. М. Глиэра,"ул. Огарёва, 22",54.718220003284,20.469269976238
2,Детская музыкальная школа имени М. И. Глинки,"Восточная ул., 18",54.672820011467,20.564139960596
3,Детская музыкальная школа имени Э. Т. А. Гофмана,"ул. Тельмана, 48",54.736340001568,20.524439998215
4,Детская музыкальная школа им. Гофмана,"ул. Некрасова, 16",54.735279984183,20.527729979031
5,Детская школа искусств им. Ф. Шопена,"ул. Горького, 113",54.735880002722,20.508159995316
6,"Центральная музыкальная школа - академия исполнительского искусства, филиал Балтийский","Солнечный бул., 27, корп. 4",54.704548825049,20.51885058769
7,Студия Музыкальной Импровизации,"ул. Генерал-Лейтенанта Озерова, 19, офис 302, этаж 3",54.725290012884,20.502979979153
8,Гамма,"Беломорская ул., 2, офис 1",54.735090008348,20.511049991712
9,Детская музыкальная школа имени Р. М. Глиэра,"ул. Минина и Пожарского, 4",54.719129984602,20.472449986484
10,Мантра About Music Studio,"ул. Профессора Баранова, 34, этаж 5, 6",54.721149981358,20.506389988822
11,Уроки музыки,"ул. Чернышевского, 24, комната 1,2, этаж 1",54.728549986486,20.476659964992
12,Не школа гитары,"Нарвская ул., 49Е, этаж 2",54.733879996805,20.495740026466
13,RockWay,"ул. Генделя, 3А, этаж 5",54.721509984099,20.496590035267
14,Студия вокала Black&White,"Советский просп., 12, офис 301, этаж 3",54.723459991963,20.499539962271
15,DVKmusic,"Курганская ул., 3, этаж цокольный",54.730900020679,20.486929975677
16,Pozitiv,"Коммунальная ул., 6, этаж 2",54.722279987634,20.470110010575
17,Не школа Барабанов,"ул. Дзержинского, 19А, корп. 1, этаж 2",54.69631000175,20.521979993452
18,Музыкальная студия Nuages,"ул. Генерала Челнокова, 38",54.742399991836,20.487150000635
19,Детская музыкальная школа Лира,"Заводская ул., 27Б, микрорайон Прибрежный",54.650200020825,20.331590008145
20,Академия электронной музыки United Masters Academy имени Никиты Еремеева,"Ялтинская ул., 20П, этаж 1",54.705550002263,20.544239981353
21,Уроки вокала с Диной Шаститко,"ул. Горького, 66",54.72624001779,20.586970001732
22,Музыкальный кабинет,"Октябрьская ул., 76, этаж 2",54.696440005068,20.516020041199
23,KartashoffGuitar,"ул. Богдана Хмельницкого, 29, Юношеская библиотека им. В. Маяковского",54.69723,20.50525
24,Роза ветров,"ул. Сергеева, 10, комната 61, этаж 4",54.717590019441,20.518169999364
25,Music Room,"ул. Павлика Морозова, 5А, подъезд 1, этаж 2, офис 11",54.68052000491,20.472640004229
26,Не школа вокала,"Нарвская ул., 49Е",54.733879996805,20.495740026466
27,Уроки музыки,"ул. Нахимова, 2",54.718109990805,20.464899987199
28,Маэстро,"ул. Герцена, 6",54.747530009946,20.525959972537
29,Largo,"Станочная ул., 10, комната 8, этаж 2",54.712110014964,20.453140009406
30,Canto,"Ростовская ул., 5",54.725620008412,20.461589973635
31,Триоль,"Нарвская ул., 54, корп. 5, этаж 2",54.731380010364,20.500500025461
32,Маяк,"ул. Богдана Хмельницкого, 29",54.697240015817,20.505539980021
33,Bear mother’s studio,"ул. Генерал-Лейтенанта Озерова, 19, помещение 503, этаж 5",54.725290012884,20.502979979153
34,Амадеус,"ул. Старшины Дадаева, 66",54.729445112046,20.541503999429
35,Студия Космос,"ул. Литовский Вал, 5",54.721409987994,20.52657000745
36,Zen,"Коломенская ул., 1",54.713096402361,20.467160452923
37,Ритмы балтики,"ул. Сергеева, 10, комната 57, этаж 4",54.717590019441,20.518169999364
38,Гитара,"ул. Гавриленко, 1, микрорайон Чкаловск",54.768049998567,20.447969967708
39,Nice To Meet You,"ул. Маршала Борзова, 58А, этаж 3, офис 12",54.738620004961,20.458380039995
40,Music House 39,"ул. Александра Невского, 78Б, корп. 1",54.737650009216,20.534229977305
41,Ispeak,"Интернациональная ул., 30",54.668830016008,20.501130009303
42,Fresh Skills Studio,"ул. Чайковского, 10А",54.724030003289,20.495150024302
43,Impovination,"Октябрьская ул., 76",54.696440005068,20.516020041199
44,Твой голос,"ул. В. Талалихина, 18",54.74405998585,20.517280008885
45,Khilola,"ул. Карла Маркса, 44",54.726989988576,20.47592001058
46,R&d Music studio,"Стрелецкая ул., 21В",54.719459263297,20.547340635652
47,Мантра,"ул. Профессора Баранова, 34",54.721149981358,20.506389988822
48,Volkov&Студия,"ул. Карла Маркса, 44",54.726989988576,20.47592001058
49,Drum Factory,"ул. Карла Маркса, 6, этаж цокольный",54.729189986703,20.485530030208
50,Voice of Alice,"Солдатская ул., 7А",54.738527236558,20.482135107976
