,Name,address,latitude,longitude
0,Театр Николая Захарова,"ул. Глазунова, 9, этаж цокольный",54.716640014535,20.444310009686
1,Калининградский областной драматический театр,"просп. Мира, 4, этаж 1",54.719669988714,20.492439987367
2,Калининградский областной музыкальный театр,"просп. Мира, 87",54.721650003792,20.465529971041
3,Калининградский областной театр кукол,"просп. Победы, 1А",54.71945998013,20.475269993988
4,Дом Искусств,"Ленинский просп., 155, Калининград",54.696730018918,20.501650022576
5,"Камерный театр Третий Этаж, сцена Чердак","Коммунальная ул., 6, Калининград, этаж 5",54.722279987634,20.470110010575
6,Театр-студия Человек И,"ул. Космонавта Леонова, 22, Калининград, Общественное пространство ""Сигнал""",54.725919996726,20.482450016068
7,21 Век,"Железнодорожная ул., 2, Калининград",54.712369979691,20.564900031576
8,Певческое поле,"ул. Ивана Сусанина, 59, Калининград",54.754169986003,20.489749983181
9,Ансамбль Балтфлота,"площадь Калинина, 28, Калининград",54.694689989413,20.501509960974
10,Театральная касса № 1,"Железнодорожная ул., 2, Калининград",54.712369979691,20.564900031576
11,Арт-экспресс,"Гаражная ул., 2А, Калининград, этаж 3",54.724479985761,20.505349962276
0,Калининградская областная филармония имени Е. Ф. Светланова,"ул. Богдана Хмельницкого, 61А",54.698149997135,20.509219970791
1,Дом Искусств,"Ленинский просп., 155",54.696730018918,20.501650022576
2,Кафедральный собор,"ул. Канта, 1",54.706430018277,20.512150032684
3,Дворец культуры железнодорожников,"Железнодорожная ул., 2",54.712369979691,20.564900031576
4,Дворец культуры железнодорожников,"Железнодорожная ул., 2",54.712369979691,20.564900031576
5,Калининградский областной драматический театр,"просп. Мира, 4, этаж 1",54.719669988714,20.492439987367
6,Театральная касса № 1,"площадь Калинина, 28",54.694689989413,20.501509960974
7,Royal park,"ул. Александра Невского, 10",54.723099989222,20.528359962873
8,Королевский дворик,"ул. Александра Невского, 10",54.723099989222,20.528359962873
