,Name,address,latitude,longitude
0,Königsbäcker,"Пролетарская ул., 55А",54.717189993112,20.512620005995
1,Königsbäcker,"Житомирская ул., 6",54.712199994695,20.506389988822
2,Königsbäcker,"Краснооктябрьская ул., 1",54.702569984227,20.505809961122
3,Штолле,"Барнаульская ул., 2Б, этаж 1",54.714759995562,20.503000011902
4,Königsbäcker,"Московский просп., 40, павильон 101, этаж 1",54.709370012725,20.502689965303
5,Три Пирога,"Флотская ул., 9, этаж 1, помещение 26",54.746469992561,20.444679986893
6,Ремесленная пекарня,"ул. Горького, 12",54.724199988285,20.509579973533
7,Königsbäcker,"ул. Черняховского, 6А",54.718910001553,20.503580039602
8,Königsbäcker,"ул. Александра Невского, 30",54.726870001632,20.528170028947
9,Königsbäcker,"ул. 9 Апреля, 1",54.716968282876,20.523714513894
10,Königsbäcker,"Театральная ул., 21, этаж 1",54.716560009269,20.500379996607
11,Пекарня,"Пролетарская ул., 87",54.720170011148,20.513690039755
12,Konigsbacker,"Вагоностроительная ул., 26",54.712614888866,20.458066812662
13,Пекарня,"ул. Космонавта Леонова, 55, корп. 2, этаж 1",54.731070005675,20.480069974661
14,Пекарня,"Правая наб., 2",54.705919979469,20.487240022275
15,Königsbäcker,"ул. 9 Апреля, 96",54.719220006242,20.526719959698
16,Голландская пекарня,"просп. Победы, 2Б",54.719999984242,20.475120041741
17,Русский хлеб,"ул. Багратиона, 104",54.699349992303,20.504949977857
18,Raut,"Красносельская ул., 85Б, Калининград",54.72045940507,20.443361090498
19,Вы достойны настоящего хлеба,"ул. Профессора Баранова, 41",54.720674618185,20.506070554458
20,Мамина пекарня,"Ленинский просп., 67",54.713089985174,20.507779959826
21,Königsbäcker,"Советский просп., 8, Калининград",54.722810017282,20.496630016946
22,Königsbäcker,"Октябрьская ул., 12, Калининград",54.700929981051,20.516609959545
23,Круассан,"ул. Генерала Раевского, 10Г, Калининград, этаж 1",54.74822998268,20.531780030826
24,Konigsbacker,"Автомобильная ул., 22, Калининград",54.67441001659,20.490170000349
25,Русский хлеб,"ул. Генерала Галицкого, 16, корп. 1, Калининград",54.714460007248,20.497250026323
