,Name,address,latitude,longitude
0,Дредноут,"ул. Генделя, 5, этаж цокольный",54.721810014323,20.496100029208
1,Matsu izakaya & Roku bar,"ул. Сергеева, 2Б",54.715006327692,20.514364689624
2,Моррисон,"ул. Чайковского, 10А, этаж 1",54.724030003289,20.495150024302
3,Паб Лондон,"просп. Мира, 33",54.720350012519,20.484580025303
4,Раковарня Ивана Раковара,"ул. Брамса, 35, этаж 1",54.72613000531,20.493619991696
5,Редюит,"ул. Литовский Вал, 27",54.712720007968,20.53714000645
6,Cult Bar & Kitchen,"Советский просп., 8",54.722549487048,20.499263322136
7,Сэр Френсис Дрейк,"Советский просп., 19А, этаж 1",54.725969994779,20.495310034834
8,КПЗ,"Нарвская ул., 51А",54.735040010295,20.496530020841
9,Мандарин,"ул. Профессора Баранова, 1, Калининград, этаж 1",54.721635198699,20.512596672719
10,Паб Лондон,"просп. Мира, 33",54.720350012519,20.484580025303
11,У Гашека,"Ленинский просп., 1",54.719200015403,20.500059975544
12,Место Силы,"ул. Генерала Галицкого, 18",54.714989994986,20.497410036855
13,Рюмочная,"ул. Профессора Баранова, 2Б, этаж 1",54.721930001267,20.512459995464
14,Ельцин,"Гаражная ул., 2А",54.724479985761,20.505349962276
15,Old brick,"просп. Мира, 19",54.719450005665,20.487479996163
16,Гарри Джонсон,"Гвардейский просп., 3",54.715892059867,20.49416874524
17,Брецель,"ул. Александра Невского, 10, этаж 1",54.723099989222,20.528359962873
18,Эль Барритос,"ул. Багратиона, 49В, этаж цокольный",54.699014080829,20.509425608318
19,Мне как обычно,"ул. Горького, 104Б",54.735949991614,20.508610019697
20,Zotler,"Ленинский просп., 3",54.718450002707,20.502150003101
21,Пират Хауз,"Эпроновская ул., 13, Калининград",54.700870008534,20.512910019845
22,Бруклин,"ул. Шевченко, 11А",54.71170001417,20.511100031673
23,Краны и стаканы,"ул. Брамса, 40",54.726249992254,20.494230026609
24,Zotler,"ул. Горького, 120, Калининград, подъезд 1",54.7372799901,20.507490029795
25,Другое место,"Пролетарская ул., 84, этаж 1",54.719610016197,20.514199994744
26,Mirage Bar,"Ленинский просп., 18, корп. 1",54.713649980125,20.504429964584
27,Мне как обычно,"Московский просп., 133В, этаж 1",54.710119983512,20.53015997658
28,Классик,"ул. Фрунзе, 6В, этаж -1",54.711909980845,20.521529969071
29,Хофбург,"Октябрьская ул., 6А, этаж 1",54.702970010556,20.515609998496
30,Tangiers Lounge,"ул. Профессора Баранова, 2Б, этаж 3",54.721930001267,20.512459995464
31,Пивной двор,"ул. Литовский Вал, 2, этаж 1",54.719669057583,20.52859332773
32,Виллеманн,"Ленинский просп., 8Б",54.715180012731,20.503339981895
33,Старый пират,"Ленинский просп., 42Б, РК Атлантика",54.70214,20.50372
34,Beer zone,"ул. Фрунзе, 17",54.713280002919,20.520620029662
35,Пивной двор,"Мариупольская ул., 14",54.708439998659,20.498860022285
36,Фишбон,"Ленинский просп., 16, этаж 3",54.714080013667,20.504740011182
37,Галерея,"ул. Александра Невского, 53, Калининград",54.731740013106,20.530760037029
38,Точка доступа,"Ленинский просп., 18, Калининград",54.71219,20.50964
39,Кафе Июль,"ул. Черняховского, 19",54.721070018001,20.518409973252
