,Name,address,latitude,longitude
0,Хлеб и горчица,"площадь Победы, 10, этаж 1",54.719599999822,20.503890002381
1,Cult Bar & Kitchen,"Советский просп., 8",54.722549487048,20.499263322136
2,Моряна,"ул. Виктора Гюго, 1, Калининград",55.91417,37.82556
3,Мандарин,"ул. Профессора Баранова, 1, Калининград, этаж 1",54.721635198699,20.512596672719
4,Мамин сибиряк,"Озёрная ул., 1А",54.735839979134,20.508889975263
5,Штолле,"Барнаульская ул., 2Б, этаж 1",54.714759995562,20.503000011902
6,Готово,"ул. 9 Апреля, 9",54.715920009052,20.522300014516
7,Дредноут,"ул. Генделя, 5, этаж цокольный",54.721810014323,20.496100029208
8,Yummy garden,"Озёрная ул., 1А",54.735839979134,20.508889975263
9,Помним любим,"ул. Багратиона, 113",54.69813998076,20.49926998117
10,Круассан,"площадь Победы, 4А",54.721149981358,20.501139983768
11,Желатерия Италия,"Театральная ул., 30, этаж 2",54.717749988063,20.498990025604
12,Патиссон Markt,"просп. Мира, 26",54.722040013746,20.486290017369
13,Поварёшка,"Ленинский просп., 8",54.715499991884,20.503290025752
14,Бранч & Боул,"Театральная ул., 23",54.71702998258,20.499610034982
15,Гриль-кафе Огонёк,"просп. Победы, 2Б, Калининград",54.719999984242,20.475120041741
16,Вы достойны настоящего хлеба,"Ленинский просп., 2, Калининград",54.71219,20.50964
17,Фьюжн экспресс,"ул. Канта, 1А",54.706027517721,20.512034050332
18,Булочки Канта,"Театральная ул., 21, ТЦ Маяк",54.71656,20.50038
19,Калининград-Ташкент,"Октябрьская ул., 2А, Калининград, этаж 1, 2, 3",54.705090003416,20.514469975845
20,Мадам Буше,"ул. Горького, 23А",54.726609994996,20.50913003297
21,Фьюжн экспресс,"Ленинский просп., 67",54.713089985174,20.507779959826
22,Круассан,"Гвардейский просп., 10",54.717660008333,20.496170018099
23,На углях,"просп. Мира, 56А",54.721220012159,20.482929963843
24,Лепим и Варим,"ул. Грекова, 3, Калининград, район Центральный, этаж 1, помещение 1",54.720289998092,20.491210026895
25,Trip,"ул. Черняховского, 6А, Калининград, Port-o-Coffee",54.718910001553,20.503580039602
26,Port-o-Coffee,"Театральная ул., 30, Калининград, этаж 2",54.717749988063,20.498990025604
27,Брикас,"Ленинский просп., 81",54.71219002023,20.509639987959
28,Поварёшка,"Гвардейский просп., 3, этаж 3",54.715892059867,20.49416874524
29,Кукси Moon,"Советский просп., 16, этаж цокольный",54.723989979701,20.498830015072
30,Господа офицеры,"Ленинский просп., 7, этаж 1",54.71781000249,20.502570020269
31,Премьер-министр,"площадь Победы, 10, этаж 1",54.719599999822,20.503890002381
32,TastyLab Green,"ул. Тельмана, 3",54.728970003654,20.515990033986
33,"Эй, Джованни!","просп. Мира, 31",54.71974999398,20.48481999919
34,Фьюжн экспресс,"просп. Мира, 23",54.719769984819,20.486250035691
35,Круассан,"ул. Черняховского, 19",54.721070018001,20.518409973252
36,Кафе Июль,"ул. Черняховского, 15А, этаж 1",54.720159994774,20.508389994739
37,Kirin,"ул. Профессора Баранова, 34, этаж 7",54.721149981358,20.506389988822
38,Пышка,"ул. Сержанта Колоскова, 1Б",54.719530010931,20.48570998967
39,Delimeal,"ул. Шевченко, 11А",54.71170001417,20.511100031673
40,Бруклин,"просп. Мира, 41-43",54.72061999362,20.483140014337
41,Заря,"ул. Генерала Буткова, 16А",54.709819995197,20.494669992707
42,Броzzес,"просп. Мира, 59, Калининград",54.719910004511,20.478849988654
