,Name,address,latitude,longitude
0,Планета,"ул. Черняховского, 26, Калининград",54.719560018144,20.507349968193
1,Мужской клуб Maxim,"ул. Черняховского, 6А",54.718910001553,20.503580039602
2,Zажигалка,"Ольштынская ул., 1",54.696099993166,20.503660002958
3,Nisha,"просп. Мира, 92",54.721350015477,20.472080009278
4,Piano Bar,"просп. Мира, 33, Калининград, этаж цокольный",54.720350012519,20.484580025303
5,Амстердам,"ул. Литовский Вал, 38, Калининград, подъезд 12",54.716840006745,20.532470029095
6,Mirage Bar,"Ленинский просп., 18, корп. 1, Калининград",54.713649980125,20.504429964584
7,Secret Bar,"просп. Мира, 58, Калининград, этаж 0",54.721079992466,20.482740029917
8,Hotbox,"Гвардейский просп., 10, Калининград",54.717660008333,20.496170018099
9,XxxX,"ул. Карла Маркса, 18, Калининград, этаж 2",54.729219993916,20.480840020106
10,Точка доступа,"Ленинский просп., 18, Калининград",54.71219,20.50964
11,Одиссей,"ул. Генерал-Фельдмаршала Румянцева, 5А, Калининград",54.713249995705,20.485170027467
12,Моррисон,"ул. Чайковского, 10А, Калининград, этаж 1",54.724030003289,20.495150024302
13,Berry,"ул. Александра Невского, 10, Калининград",54.723099989222,20.528359962873
14,Double U,"просп. Мира, 31, Калининград, этаж 4",54.71974999398,20.48481999919
15,КПЗ,"Нарвская ул., 51А, Калининград",54.735040010295,20.496530020841
16,Клуб Манхэттен,"ул. Гайдара, 136, Калининград, этаж 3",54.743820011962,20.50953001739
17,Атлантика,"Ленинский просп., 42Б, Калининград",54.702139992594,20.503720017385
18,Ravelin,"просп. Калинина, 4, Калининград, 0",54.694800001893,20.514559997485
19,Ночной клуб 111,"Батальный пер., 4, Калининград",54.676159990335,20.501290019835
20,Дикий ДЮК,"ул. Черняховского, 26, Калининград, этаж цокольный",54.719560018144,20.507349968193
21,Карамзiнъ,"ул. Николая Карамзина, 40, Калининград",54.665969984916,20.510290004551
22,Кочегарка,"Батальная ул., 17А, Калининград, этаж 2",54.678220010678,20.496760020264
23,Галерея,"ул. Александра Невского, 53, Калининград",54.731740013106,20.530760037029
24,Home creative studio,"Гвардейский просп., 22",54.713390015398,20.490680039157
25,Гладиатор,"Красная ул., 136",54.735240002505,20.474250000191
26,Караоке,"ул. Черняховского, 26",54.719560018144,20.507349968193
27,Фишбон,"Ленинский просп., 16, этаж 3",54.714080013667,20.504740011182
28,Rum Money: Tikibar,"Туркменская ул., 1, 1",54.729080016133,20.475959992258
29,Am Pm,"ул. Фрунзе, 6В, этаж 1",54.711909980845,20.521529969071
30,Карамзiнъ,"ул. Николая Карамзина, 40",54.665969984916,20.510290004551
