,Name,address,latitude,longitude
0,Хмель,"площадь Победы, 10, этаж 2",54.719599999822,20.503890002381
1,Kavkaz,"площадь Победы, 1",54.719250013455,20.500440011034
2,Мушкино,"ул. Сергеева, 14",54.719660014249,20.518910037595
3,Моряна,"ул. Виктора Гюго, 1",54.708119633931,20.505508681121
4,Dolce Vita,"площадь Маршала Василевского, 2",54.719849990085,20.523610022163
5,Геркулес,"просп. Мира, 105, этаж 1",54.720730006099,20.455700010273
6,Ветви,"ул. Профессора Баранова, 1, Калининград, этаж 1",54.721635198699,20.512596672719
7,Мандарин,"Ленинский просп., 81, этаж 1",54.71219002023,20.509639987959
8,Sushi&more,"ул. Сергеева, 2Б",54.715006327692,20.514364689624
9,Matsu izakaya & Roku bar,"Житомирская ул., 22",54.710620005946,20.50661001378
10,Штайндамм 99,"Ленинский просп., 3",54.718450002707,20.502150003101
11,Zotler,"Октябрьская ул., 8, этаж 1",54.702200007021,20.515790041776
12,Да,"ул. Профессора Баранова, 30, Калининград, АНГЛИЙСКИЙ ПАБ ""БРИТАННИКА"", этаж 1",54.721619996578,20.509179989113
13,Британника,"Октябрьская ул., 2А, этаж 1, 2, 3",54.705090003416,20.514469975845
14,Мадам Буше,"Ленинский просп., 93",54.703899982713,20.506180022148
15,Асадо,"ул. Горького, 162",54.745139994074,20.502170035849
16,Чеснок,"просп. Мира, 19, Калининград",54.719450005665,20.487479996163
17,Угли,"ул. Виктора Гюго, 1, Калининград, этаж цокольный",55.91417,37.82556
18,Lastadie,"ул. Космонавта Леонова, 55, корп. 2",54.731070005675,20.480069974661
19,Соль,"Ленинский просп., 1",54.719200015403,20.500059975544
20,У Гашека,"Гостиная ул., 3, этаж цокольный",54.719100019298,20.488450033818
21,Пармезан,"Гвардейский просп., 3, Калининград",54.715892059867,20.49416874524
22,Шпрот,"ул. Литовский Вал, 27",54.712720007968,20.53714000645
23,Редюит,"ул. Карла Маркса, 18",54.729219993916,20.480840020106
24,Британника,"Советский просп., 8, Калининград",54.722810017282,20.496630016946
25,Stories,"ул. Литовский Вал, 2, Калининград, ТЦ Spar",54.719669057583,20.52859332773
26,Базилик,"Театральная ул., 30, Калининград, этаж 2",54.717749988063,20.498990025604
27,Брикас,"площадь Победы, 10, Калининград, ТЦ Кловер, этаж 1",54.719599999822,20.503890002381
28,Борщ и сало,"Театральная ул., 30, Калининград, этаж 1, 2",54.717749988063,20.498990025604
29,Сачмэли,"ул. Чайковского, 43, Калининград",54.725939987565,20.483100032659
30,Чайковский,"ул. Тельмана, 3, Калининград",54.728970003654,20.515990033986
31,"Эй, Джованни!","просп. Мира, 74, Калининград",54.720899991095,20.479869982451
32,Seasons,"ул. Шевченко, 11А, Калининград, Район Ленинградский",54.71170001417,20.511100031673
33,Тётка Фишер,"Гвардейский просп., 3, Калининград",54.715892059867,20.49416874524
34,Kaiser Wurst,"Озёрный пр., 2, Калининград",54.721500009634,20.516560003402
35,Torro Grill,"ул. Грекова, 3, Калининград, район Центральный, этаж 1, помещение 1",54.720289998092,20.491210026895
36,Trip,"Ленинский просп., 11, Калининград, этаж цокольный",54.717220000325,20.502890041332
37,Либерти,"Октябрьская ул., 6А, Калининград, этаж 1",54.702970010556,20.515609998496
38,Хофбург,"ул. Пушкина, 15, Калининград",54.716899979262,20.473629990813
39,Villa Toscana,"ул. Карла Маркса, 18, Калининград, Траттория ""Пармезан""",54.72922,20.48084
40,Пармезан,"площадь Победы, 4, Калининград, этаж 1",54.720830002204,20.499880016083
41,Патиссон Markt,"просп. Мира, 41-43, Калининград, Кинотеатр Заря",54.72061999362,20.483140014337
42,Copper,"Московский просп., 40, Калининград, этаж цокольный",54.709370012725,20.502689965303
43,Чинар,"Октябрьская ул., 2, Калининград, этаж 1",54.705229981199,20.514420019702
44,Феррум,"ул. Сергеева, 4, Калининград, отель Crystal House Suite HotelSPA, этаж 1",54.715100007465,20.515740001814
45,Hoffmann,"ул. Юрия Маточкина, 2А, Ленинградский район, микрорайон Сельма, Калининград",54.740950006405,20.488560004387
46,Пеперончино,"ул. Чекистов, 14, Калининград",54.732109990312,20.480989972353
47,Наутилус,"Октябрьская ул., 4А, Калининград, этаж 1",54.704740017049,20.515050003545
48,Рыбный клуб,"ул. Елены Ковальчук, 3, Калининград, этаж 1",54.720090005882,20.473810034093
49,Пеперончино,"ул. Профессора Баранова, 2Б, Калининград, этаж 3",54.721930001267,20.512459995464
50,Балкон,"ул. Карла Маркса, 18",54.729219993916,20.480840020106
51,Эль Греко,"просп. Мира, 26",54.722040013746,20.486290017369
52,Патиссон Markt,"ул. Космонавта Леонова, 55, корп. 2",54.731070005675,20.480069974661
53,Тресковия,"ул. Александра Невского, 10, Развлекательный комплекс Резиденция Королей, этаж 2",54.72314,20.52855
54,Резиденция королей,"Эпроновская ул., 13",54.700870008534,20.512910019845
55,Пират Хауз,"просп. Мира, 33",54.720350012519,20.484580025303
56,Паб Лондон,"ул. Горького, 160А, АНГЛИЙСКИЙ ПАБ ""БРИТАННИКА""",54.74201,20.50401
57,Британника,"Театральная ул., 30, этаж 2",54.717749988063,20.498990025604
58,Табаско Европа,"просп. Мира, 19",54.719450005665,20.487479996163
59,Old brick,"ул. Горького, 120, подъезд 1",54.7372799901,20.507490029795
60,Zotler,"Советский просп., 28",54.725069987925,20.497439960249
61,China Town,"площадь Маршала Василевского, 3",54.721749999897,20.524019981047
62,Солнечный камень,"ул. Грига, 26",54.712529990223,20.530979978168
