,Name,address,latitude,longitude
0,Энерготрансбанк,"Клиническая ул., 83А",54.719599999822,20.52240001062
1,Альфа-Банк,"ул. Шевченко, 1",54.711759986687,20.510229990124
2,Банк ДОМ.РФ,"площадь Победы, 10, этаж 1",54.719599999822,20.503890002381
3,Энерготрансбанк,"площадь Калинина, 11",54.696349983428,20.499190017813
4,Энерготрансбанк,"ул. Черняховского, 3",54.719790017567,20.505809961122
5,Газпромбанк,"Ленинский просп., 5",54.718250010497,20.502270031954
6,Ренессанс Банк,"ул. Шевченко, 11А",54.71170001417,20.511100031673
7,Локо-Банк,"Ленинский просп., 95-101, помещение 2",54.703569987185,20.505929989976
8,МТС банк,"просп. Мира, 76",54.720760013312,20.47970997192
9,Почта банк,"Ленинский просп., 6",54.715660002416,20.503070000793
10,Россельхозбанк,"Гостиная ул., 3, этаж 1",54.719100019298,20.488450033818
11,Банк ВТБ,"Ленинский просп., 28, Калининград",54.71219,20.50964
12,СберБанк,"ул. Шевченко, 11А",54.71170001417,20.511100031673
13,СберБанк,"ул. 9 Апреля, 7",54.714870008042,20.522070015092
14,СберБанк,"Московский просп., 12",54.710129999886,20.496179992564
15,Банк Санкт-Петербург,"Зарайская ул., 17",54.71024998683,20.51747002663
16,Банк ВТБ,"Ленинский просп., 89, Калининград",54.71219,20.50964
17,СберБанк,"Ленинский просп., 34",54.704079984084,20.505030025032
18,СберБанк,"ул. Багратиона, 60",54.699809991149,20.511189969495
19,Банк ВТБ,"Театральная ул., 30, Калининград, ТРЦ Европа",54.717749988063,20.498990025604
20,Банк Санкт-Петербург,"Театральная ул., 30, этаж 1",54.717749988063,20.498990025604
21,Банк Авангард,"Московский просп., 46",54.708910013879,20.502410009737
22,Банк Открытие,"площадь Победы, 4А",54.721149981358,20.501139983768
23,Промсвязьбанк,"Ленинский просп., 4",54.715859994626,20.502849975835
24,Совкомбанк,"ул. Черняховского, 6А",54.718910001553,20.503580039602
25,Финам,"ул. Черняховского, 40, Калининград",54.71992999535,20.510459989547
26,СберБанк,"ул. Черняховского, 4",54.718699992969,20.502500031377
27,Россельхозбанк,"ул. Литовский Вал, 2",54.719669057583,20.52859332773
28,Банк Синара,"Ленинский просп., 30А, БЦ Калининград Плаза, этаж 1",54.711590001691,20.507479971511
29,Банк Санкт-Петербург,"ул. Кутузова, 39, вход со стороны кругового перекрестка",54.715770014895,20.46188996195
30,Банк Открытие,"Ленинский просп., 95",54.703769979395,20.506069967759
31,Совкомбанк,"Ленинский просп., 105, офис №115",54.703009992234,20.505680041623
32,Банк ВТБ,"Киевская ул., 1, Калининград",54.692289999077,20.505000017819
33,Совкомбанк,"ул. Багратиона, 104",54.699349992303,20.504949977857
34,Райффайзенбанк,"Театральная ул., 30, офис ""Калининградский""",54.717749988063,20.498990025604
35,Банк Русский Стандарт,"ул. Черняховского, 36",54.719860006459,20.509830005704
36,Московский кредитный банк,"Театральная ул., 36Б",54.718444236147,20.496073822134
37,СберБанк,"Советский просп., 2А, этаж 1",54.721600005739,20.499320021132
38,СберБанк,"Киевская ул., 95",54.680999994595,20.475530000625
39,Банк Уралсиб,"Ленинский просп., 99",54.703510014668,20.506010037151
40,Транскапиталбанк,"просп. Мира, 72",54.721010003575,20.480570039004
41,Промсвязьбанк,"Барнаульская ул., 4",54.713850014244,20.502010025318
42,Хоум Банк,"Ленинский просп., 67Б",54.712909983803,20.507939970357
43,Банк ВТБ,"Больничная ул., 5, Калининград",54.713939993975,20.503880027916
44,Банк Зенит,"Ленинский просп., 155А, вход со стороны сквера",54.696060011487,20.50254998752
45,Росбанк,"Ленинский просп., 30А, ТЦ Плаза, БЦ Плаза корпус Б, этаж 1",54.711590001691,20.507479971511
46,Почта банк,"Московский просп., 99",54.709630019362,20.523940017691
47,Банк Открытие,"Адмиральская ул., 1",54.715269992461,20.464479970031
48,Альфа-Банк,"площадь Победы, 4",54.720830002204,20.499880016083
49,СберБанк,"ул. Александра Невского, 52",54.731200008994,20.531450035298
50,БКС Мир инвестиций,"ул. Генерал-Лейтенанта Озерова, 47",54.724919993768,20.508239958672
51,Драйв Клик,"Университетская ул., 2В, офис 302, этаж 3",54.71431001309,20.508719990267
52,Фридом Финанс,"площадь Победы, 10, БЦ «Кловер»",54.719599999822,20.503890002381
53,Энерготрансбанк,"ул. Профессора Баранова, 1, подъезд 1, этаж 1",54.721635198699,20.512596672719
54,Почта банк,"Краснооктябрьская ул., 6",54.700959988265,20.511950040475
55,СберБанк,"Батальная ул., 17А",54.678220010678,20.496760020264
56,Почта банк,"Ленинский просп., 95/101",54.703569987185,20.505929989976
57,Россельхозбанк,"Интернациональная ул., 27А, помещение I",54.669800011753,20.501130009303
58,СберБанк,"ул. Чекистов, 36",54.732569989158,20.474860035104
59,Газпромбанк,"Ленинский просп., 30",54.71121000811,20.508229984207
60,СберБанк,"ул. Дзержинского, 42",54.692389995182,20.526909977443
61,СМП Банк,"Ленинский просп., 109А, подъезд 1",54.701690010122,20.504940003392
62,СберБанк,"ул. Карла Маркса, 49",54.725069987925,20.469260001774
63,Хоум Кредит,"Театральная ул., 23",54.71702998258,20.499610034982
