,Name,address,latitude,longitude
0,Цвет волос,"Ленинский просп., 30, этаж 3",54.71121000811,20.508229984207
1,Точка Красоты,"ул. Юрия Гагарина, 11",54.716319993472,20.539500015108
2,Арт-Студия Елены Павловой,"Аэропортная ул., 1А, этаж 1",54.729330006395,20.554479984825
3,Sахар,"Театральная ул., 35, этаж 1",54.717749988063,20.497260000788
4,Цирюльникъ,"Советский просп., 2А, этаж 2",54.721600005739,20.499320021132
5,Креатив,"ул. Фрунзе, 59",54.713000005443,20.527190016828
6,Центр красоты Люсо,"Автомобильная ул., 23, этаж 0",54.674130019114,20.491770021846
7,Beauty Space 107,"просп. Мира, 107",54.72246,20.46676
8,Probor,"ул. Аксакова, 102Б",54.709989980194,20.580790024521
9,Шанталь,"Озёрная ул., 41А",54.74174000078,20.512150032684
10,Verde,"ул. Виктора Гюго, 1, БЦ Lastadie, этаж 1",54.70803,20.50548
11,Есфирь,"просп. Мира, 21, этаж 1",54.719489987343,20.486989990104
12,Verde,"ул. 9 Апреля, 86А, Калининград, этаж 1",54.713054200888,20.522501688184
13,Love & beauty,"ул. Юрия Гагарина, 7, этаж 1",54.716039995996,20.537130031985
14,Багира,"Ленинский просп., 88",54.698349989345,20.502270031954
15,Estel,"Московский просп., 39",54.710190014313,20.504860040036
16,Вирсавия,"Московский просп., 105",54.709700008253,20.525129996485
17,Шевелюра,"ул. Горького, 170",54.749179987586,20.501650022576
18,Парикмахерская,"ул. Черняховского, 36",54.719860006459,20.509830005704
19,Narine Beauty,"ул. Фрунзе, 51",54.712839994911,20.526430029667
20,Krav,"Октябрьская ул., 57",54.700200001104,20.520040001962
21,Beauty Buro,"Театральная ул., 25, этаж 1",54.717130020595,20.499299988383
22,Palerma,"Советский просп., 230, этаж 2",54.748380018747,20.459890039852
23,СтилиССимо,"Ленинский просп., 71А",54.712509999383,20.509400014071
24,Memel Beauty House,"Советский просп., 81, корп. 1, Калининград, район Центральный, этаж 1",54.733280020176,20.483909975963
25,Персона,"Балтийская ул., 14, Калининград, Район Ленинградский, этаж 1",54.737919990317,20.509470002963
26,SPA.sibo,"Уральская ул., 20, Калининград, этаж 1",54.723939981649,20.501690004255
27,Хамелеон,"Советский просп., 159, Калининград, этаж 2",54.742440015423,20.465250015475
28,Такие разные,"Краснооктябрьская ул., 17, Калининград, этаж цокольный",54.702009989276,20.50865997584
29,Lastadie Beauty,"Ленинский просп., 85А, Калининград",54.703719981342,20.507579967616
30,Модный проспект,"просп. Мира, 57, Калининград, Район Центральный, этаж 1",54.738686209116,20.485963432936
31,Красотка,"Калужский пер., 18, Калининград",54.72875999507,20.499030007282
32,Перфект,"Воздушный пер., 2, Калининград",54.714249998664,20.44191001935
33,Lайм,"Ленинский просп., 149, Калининград",54.6973799936,20.503200004112
34,Hairy Goodini,"Зоологическая ул., 29, Калининград",54.724340007978,20.484390007558
35,Haircut Skill,"ул. Генерала Галицкого, 4А, Калининград",54.716549992895,20.499350028345
36,Kriss angels studio,"Театральная ул., 27, Калининград",54.717180018647,20.499109970638
37,Модерн,"просп. Калинина, 5, Калининград",54.695030001316,20.50391003513
38,Весна,"ул. Каштановая Аллея, 68, Калининград",54.749450254688,20.445049632839
39,А-Студио,"Эпроновская ул., 13, Калининград",54.700870008534,20.512910019845
40,Laky Day,"ул. 9 Апреля, 88А, Калининград, офис 5, этаж 2",54.719140000976,20.525719998649
41,Иллен Бьюти,"просп. Мира, 59Б, Калининград",54.720463770201,20.479599173326
