,Name,address,latitude,longitude
0,АльфаСтрахование,"Гостиная ул., 3, этаж 7",54.719100019298,20.488450033818
1,Зетта Страхование,"просп. Мира, 94, этаж 3",54.721400013529,20.471780020963
2,Согаз-Мед,"площадь Победы, 4, этаж 4",54.720830002204,20.499880016083
3,Мир Макса,"ул. Александра Невского, 16, этаж 1",54.725809984247,20.52735002736
4,СОГАЗ,"Гвардейский просп., 15",54.716619736483,20.495129390267
5,Страховой Дом ВСК,"ул. Фрунзе, 51, этаж 3",54.712839994911,20.526430029667
6,Согласие,"ул. Чайковского, 2А",54.723969988862,20.497610029065
7,Первое страховое агентство,"Ленинский просп., 155А, офис 30, этаж 2",54.696060011487,20.50254998752
8,РЕСО-Гарантия,"ул. Тельмана, 48Б, офис 18, 51, этаж 1",54.736329985194,20.525250025338
9,Ингосстрах,"Театральная ул., 35, офис 314, этаж 3",54.717749988063,20.497260000788
10,Юсвит,"ул. Младшего Лейтенанта Ротко, 1А, этаж 2",54.698650019569,20.507270004836
11,Зетта Страхование,"просп. Победы, 137, этаж 1",54.70996001489,20.442549977658
12,Гайде,"просп. Мира, 51",54.72042000141,20.481119975672
13,Зетта Страхование,"площадь Калинина, 28, этаж 1",54.694689989413,20.501509960974
14,Ренессанс Страхование,"площадь Маршала Василевского, 2, этаж 2",54.719849990085,20.523610022163
15,Ингосстрах,"Театральная ул., 35, офис 316, этаж 3",54.717749988063,20.497260000788
16,Визовый страховой центр,"ул. Дмитрия Донского, 7, офис 120, этаж 1",54.714590010566,20.48860996053
17,Росгосстрах,"Ленинский просп., 30, этаж 7",54.71121000811,20.508229984207
18,Страхование,"ул. Гайдара, 120",54.743410011168,20.504710003969
19,Намми,"ул. Юрия Гагарина, 106, этаж 1, офис 5",54.729670018297,20.562580004596
20,РЕСО-Гарантия,"площадь Победы, 10, ТЦ ""Кловер"", этаж 1",54.719599999822,20.503890002381
21,А'полис,"просп. Мира, 81, этаж 2",54.72197999932,20.467259995857
22,Капитал Медицинское Страхование,"площадь Победы, 10, комната 418, этаж 4",54.719599999822,20.503890002381
23,Мир Макса,"ул. Александра Невского, 137Б, этаж 2",54.741820006045,20.531759998077
24,Росгосстрах,"площадь Победы, 4А, офис 608, этаж 6",54.721149981358,20.501139983768
25,Югория,"Октябрьская ул., 8, офис 217, этаж 2",54.702200007021,20.515790041776
26,Зетта страхование,"Солнечный бул., 1, этаж 2",54.704580006518,20.517649986091
27,КАПИТАЛ LIFE,"площадь Победы, 10, офис 503-504, этаж 5",54.719599999822,20.503890002381
28,РСХБ-Страхование,"Гостиная ул., 5, подъезд 1, офис 39, этаж 3",54.717799986116,20.488320030499
29,Neotorg,"площадь Победы, 4А, офис 511а, этаж 5",54.721149981358,20.501139983768
30,Мир Макса,"ул. Богдана Хмельницкого, 86, офис 101, этаж 1",54.697010016393,20.515660038458
31,Арсеналъ,"Больничная ул., 24, офис 24, этаж 2",54.712579988275,20.503309974681
32,Автострахование,"Портовая ул., 45, корп. 2, этаж 2, офис 5",54.704319999881,20.489500034828
33,ППФ Страхование жизни,"Университетская ул., 2Г, этаж 3",54.714490014461,20.50836996199
34,Neotorg Финансовая Группа,"просп. Мира, 52, этаж 1",54.721179988571,20.483630020397
35,Страховые брокеры,"Московский просп., 40, офис 1009, этаж 10",54.709370012725,20.502689965303
36,Цунами,"площадь Победы, 10, офис 518, этаж 3",54.719599999822,20.503890002381
37,Страхование,"ул. Лейтенанта Яналова, 42, комната 42, этаж 2",54.729599987496,20.476229973359
38,Открытая Европа,"ул. Фестивальная Аллея, 8, офис 7, этаж 3",54.724570007401,20.414760029137
39,Двадцать первый век,"Октябрьская ул., 8, офис 504, 506, этаж 5",54.702200007021,20.515790041776
40,Все виды страхования,"просп. Мира, 7, офис 201, этаж 2",54.719560018144,20.496000033103
41,Страхование,"ул. Маршала Борзова, 58А, этаж 2",54.738620004961,20.458380039995
42,Страхование,"Московский просп., 40, павильон 212",54.709370012725,20.502689965303
43,Ренессанс Жизнь,"площадь Победы, 4А, этаж 5, помещение №19, офис №509",54.721149981358,20.501139983768
44,Зелёная карта,"Киевская ул., 19Б, этаж 1",54.689289990202,20.497109964721
45,Автоспас,"ул. Багратиона, 111, подъезд 1, офис 203, этаж 2",54.698310007666,20.500319982181
46,Центр страхования,"Озёрная ул., 17",54.742469980727,20.428850008374
47,ОСАГО,"Озёрная ул., 17",54.742469980727,20.428850008374
48,Акционерное Общество Страховая Бизнес Группа,"ул. Лейтенанта Яналова, 42",54.729599987496,20.476229973359
49,TravelFrog,"Инженерная ул., 8",54.682399981973,20.487960027758
50,Югория,"Ленинский просп., 131, офис 308, этаж 3",54.69872000846,20.503669977423
51,Вадэкс,"ул. Старшего Лейтенанта Сибирякова, 21",54.734860008925,20.5007199666
52,Солар,"ул. Генерала Челнокова, 11А",54.736819991254,20.486950008425
53,Энергогарант,"Университетская ул., 2Г",54.714490014461,20.50836996199
54,Капитал Медицинское Страхование,"Зарайская ул., 7, ЗАГС",54.711130002845,20.51767001884
55,Центр оформления документов,"Театральная ул., 35, офис 102, этаж 1",54.717749988063,20.497260000788
56,Галатея,"ул. Богдана Хмельницкого, 86, офис № 101",54.697010016393,20.515660038458
57,Страхование,"ул. 9 Апреля, 1",54.716968282876,20.523714513894
58,Группа генеральных агентов,"Советский просп., 16",54.723989979701,20.498830015072
59,РЕСО страхование,"ул. Фрунзе, 6В, этаж 1",54.711909980845,20.521529969071
