,Name,address,latitude,longitude
0,Стафф Марин,"площадь Победы, 10, офис 614, этаж 6",54.719599999822,20.503890002381
1,HomeyBee,"Октябрьская ул., 8",54.702200007021,20.515790041776
2,ОкеанФлотКадры,"просп. Калинина, 2, комната 9",54.694359993885,20.504800025609
3,Staffjet,"Ленинский просп., 30А, этаж 6, офис 7",54.711590001691,20.507479971511
4,Сфера Успеха,"ул. Генделя, 5, офис 33, этаж 5",54.721810014323,20.496100029208
5,Рекрутинговое агентство Елены Реут,"ул. Сержанта Колоскова, 2А, офис 17",54.718929992392,20.48472997755
6,Hav Ship Management NorRus,"Театральная ул., 35, этаж 4, офис 411",54.717749988063,20.497260000788
7,All Crew,"ул. Дмитрия Донского, 17, этаж 3, офис 3",54.715339981353,20.487530036125
8,Северный путь,"Московский просп., 40, офис 501, этаж 5",54.709370012725,20.502689965303
9,Персонал янтарь,"Гвардейский просп., 15",54.716619736483,20.495129390267
10,Avior Kaliningrad,"ул. Виктора Гюго, 1, офис 207, этаж 2",54.708119633931,20.505508681121
11,Балтфлоткадры,"Московский просп., 12",54.710129999886,20.496179992564
12,Калининградский кадровый центр,"Советский просп., 12, офис 405, этаж 4",54.723459991963,20.499539962271
13,Русам,"Зоологическая ул., 50, офис 3",54.72690998331,20.484829973655
14,Бизнес персонал,"ул. Младшего Лейтенанта Ротко, 2, офис 24, этаж 4",54.698579988768,20.506419996035
15,Новиконтас Калининград,"Колхозная ул., 4Г, пом. 7",54.74482001492,20.528229959555
16,Мишье Редери,"Театральная ул., 30, этаж 3, офис 312",54.717749988063,20.498990025604
17,Синильга,"ул. Горького, 81",54.729903491481,20.51007280967
18,Балтийская морская компания,"площадь Победы, 4, БЦ Калининградский деловой центр, подъезд 1, этаж 4, офис 18",54.72059,20.50005
19,Работа в Польше,"просп. Победы, 27, этаж 1",54.716660005374,20.469250027309
20,Pregel,"ул. Дмитрия Донского, 7, офис 402, этаж 4",54.714590010566,20.48860996053
21,Балтик Групп Интернешнл,"площадь Победы, 4А, офис 508, этаж 5",54.721149981358,20.501139983768
22,Европерсонал,"площадь Победы, 10, оф. 512",54.719599999822,20.503890002381
23,Prusmarine,"ул. Дмитрия Донского, 7, этаж 4, комната 402",54.714590010566,20.48860996053
24,Тейде,"ул. Сергеева, 14, этаж 1, офис 116",54.719660014249,20.518910037595
