,Name,address,latitude,longitude
0,Отличные наличные,"Театральная ул., 30А",54.717423122402,20.499543946174
1,Отличные наличные,"ул. Черняховского, 15, лит.Б",54.721700001844,20.513440007583
2,Центрофинанс,"ул. Багратиона, 100",54.699379999516,20.505490023878
3,Отличные наличные,"Интернациональная ул., 27А",54.669800011753,20.501130009303
4,Отличные наличные,"ул. Черняховского, 30А, помещение 2",54.71974999398,20.508280024169
5,Отличные наличные,"Портовая ул., 1, комната 202, этаж 2",54.703990004353,20.504219997909
6,Деньга,"Ленинский просп., 7, этаж 3",54.71781000249,20.502570020269
7,МКК М Булак,"Киевская ул., 69А, Ориентир кинотеатр ""КиноЛенд""",54.681249984857,20.482650008277
8,Хорошие Деньги,"ул. Черняховского, 4А",54.718769981861,20.502660041909
9,Деньга,"ул. Багратиона, 106-112",54.699269987037,20.503720017385
10,РосДеньги,"ул. Генерал-Лейтенанта Озерова, 17Б, офис 706, этаж 7",54.725900005887,20.501290019835
11,РосДеньги,"Киевская ул., 71, павильон 8",54.681409995389,20.482510030494
12,РосДеньги,"Университетская ул., 2В, офис 308, этаж 3",54.71431001309,20.508719990267
13,Кредиториум,"Советский просп., 46А",54.727510001849,20.494079990543
14,Быстрый заём,"ул. Александра Невского, 5, офис 1, этаж 1",54.724620005453,20.525550013653
15,Банкирофф Групп,"площадь Победы, 4А, офис 622, этаж 6",54.721149981358,20.501139983768
16,Автозайм,"ул. Космонавта Леонова, 8",54.722179991529,20.483289966585
17,Джинн,"Советский просп., 21А",54.726859985258,20.494040008864
18,РосДеньги,"Ореховая ул., 7-19, офис 20",54.72439000603,20.415390012979
19,Региональный центр Финансовых Решений,"Киевская ул., 69А",54.681249984857,20.482650008277
20,Свой дом,"ул. Черняховского, 2-4, помещение 7",54.718549998812,20.502189984779
21,МК,"ул. Черняховского, 15, лит.Б, Калининград, магазин ""Билайн""",54.721700001844,20.513440007583
22,Отличные наличные,"Киевская ул., 71А, Калининград",54.681509991494,20.48278998606
23,ЧестноДеньги,"ул. Молочинского, 51, Калининград, квартира 1",54.733710011809,20.478859963119
24,РосДеньги,"ул. Черняховского, 15, лит.Б, Калининград",54.721700001844,20.513440007583
25,Деньги сразу,"площадь Маршала Василевского, 2, Калининград",54.719849990085,20.523610022163
26,РосДеньги,"Ленинский просп., 9, Калининград",54.71219,20.50964
27,Общество с ограниченной ответственностью микрокредитная компания Региональный центр финансовых решений,"Советский просп., 53, Калининград",54.730820015413,20.488920007129
28,Займы,"Яблочная ул., 3, Калининград, этаж 3, офис 38",54.752839987517,20.433919970148
29,Автоломбард Василевский,"Советский просп., 21А, Калининград",54.726859985258,20.494040008864
30,Хорошие деньги,"Интернациональная ул., 27А",54.669800011753,20.501130009303
