,Name,address,latitude,longitude
0,Генеральская баня,"Советский просп., 63, этаж 1",54.731840009211,20.487270029489
1,Банный комплекс Высший разряд,"Советский просп., 294, Калининград",54.76438591815,20.43890305205
2,Баня № 5,"ул. Грига, 58",54.715660002416,20.529840039336
3,RiverSide,"Ялтинская ул., 20А",54.705610016689,20.54265001814
4,Банный дворъ,"Ялтинская ул., 20А",54.705610016689,20.54265001814
5,Муниципальные бани,"ул. Дзержинского, 71",54.687419987604,20.533569986249
6,Лёд,"Московский просп., 175",54.710700011212,20.547480006026
7,Баньки,"4-я Большая Окружная ул., 35А",54.748908167713,20.559637143779
8,Баня на аллее,"ул. Аллея Смелых, 207, этаж 1",54.667190012833,20.518509969357
9,Царские забавы,"ул. Генерал-Фельдмаршала Румянцева, 3",54.712839994911,20.487700021121
10,Муниципальные бани,"Комсомольская ул., 83",54.732840012169,20.477760005965
11,Бордо,"ул. Генерала Буткова, 21, Район Ленинградский",54.708739986973,20.49538999819
12,Банька на Чувашской,"Чувашская ул., 5А, район Ленинградский",54.724279993551,20.550379976886
13,Граф Орлов,"ул. Юрия Гагарина, 92",54.728790002283,20.560529958718
14,Муниципальные бани,"ул. Герцена, 30",54.749049984267,20.528609995045
15,Берлога,"Судостроительная ул., 13А",54.681700009239,20.488490015496
16,Карусель,"Стрелецкая ул., 8",54.717220000325,20.544759994626
17,Тортуга,"ул. Генерала Буткова, 19",54.709170020516,20.495670037575
18,Баня у озера,"ул. Леонида Андреева, 17",54.746189995085,20.55273001108
19,Банный клуб Даурия,"Пушкинская ул., 36, посёлок Малое Исаково",54.739099994646,20.579069974171
20,Муниципальные бани,"ул. Александра Суворова, 137",54.676749992499,20.443999963088
21,У Саныча,"1А, посёлок Прегольский",54.694819992732,20.413060011535
22,Посейдон,"ул. Чайковского, 39",54.724869995715,20.487660039443
23,Русские бани,"Сухумская ул., 20",54.724249986338,20.360489972104
24,Комильфо,"Гончарная ул., 8",54.749359988956,20.499369977275
25,Гошевка,"Орловская ул., 8, посёлок Кутузово",54.745879990396,20.546469986693
26,Баня в Ёлках,"Орудийная ул., 16А",54.729850019668,20.555650014689
27,Bathhouse,"ул. Солженицына, 13",54.747719985781,20.457089981277
28,Баня на дровах,"ул. Горького, 170В",54.750869988813,20.50313001522
29,У Вани в Бане,"ул. Каштановая Аллея, 43",54.750520002446,20.445859991222
30,Баня на Герцена,"ул. Герцена, 32",54.749170013121,20.528830020003
31,Отдых,"ул. Карла Маркса, 80Б, этаж цокольный",54.725581269562,20.470338007019
32,Сударь,"Физкультурная ул., 22",54.712959981855,20.544450031847
33,Баня,"ул. Герцена, 1Б",54.747619989676,20.524769993743
34,Русский Дух,"ул. Горького, 170В",54.750869988813,20.50313001522
35,Серебряная Чаша,"Физкультурная ул., 22А",54.713137701008,20.544933431158
36,Сударь,"ул. Лейтенанта Яналова, 17Г",54.729159979489,20.475450037269
37,Территория отдыха,"ул. Литовский Вал, 40, корп. 2",54.715150005517,20.533760003994
38,Эдем,"ул. Александра Невского, 44",54.729080016133,20.52986996273
39,Везувий,"Туруханская ул., 1А, корп. 2, Калининград",54.758859996106,20.55998002205
40,Русские бани,"ул. Аллея Смелых, 145, этаж 2",54.672299998194,20.521269962434
41,Калина,"ул. Валентины Терешковой, 42Б, поселок Ласкино",54.64797998995,20.443009976504
42,Русская баня Веник и Пар,"ул. Чернышевского, 24",54.728549986486,20.476659964992
43,Баня,"ул. Александра Невского, 46В",54.729210019451,20.530280005434
44,Калина,"Ялтинская ул., 66, корп. 19",54.704359981559,20.554690035318
45,Банно-прачечный комбинат,"Совхозная ул., 4, посёлок Шоссейное",54.738231866809,20.563280213273
46,Баня на дровах,"ул. Лейтенанта Яналова, 17Г",54.729159979489,20.475450037269
47,Зеркальный карп,"Транспортная ул., 1, этаж 1",54.691539986381,20.46613003149
48,Русалочка,"ул. Павлова, 21, Ленинградский район, микрорайон Северная Гора",54.724216964332,20.587523563741
49,ВКубе,"Московский просп., 208",54.708479980337,20.56067002032
