,Name,address,latitude,longitude
0,На Каштановой,"ул. Каштановая Аллея, 1В",54.752321407369,20.450535725999
1,Shtenvald,"Монетная ул., 3, Калининград",54.750359991915,20.497610029065
2,Европа,"Театральная ул., 30, Калининград",54.717749988063,20.498990025604
3,Орион,"ул. Подполковника Иванникова, 8, Район Ленинградский",54.717890007756,20.506329974395
4,"Radisson Blu Hotel, Kaliningrad","площадь Победы, 10",54.719599999822,20.503890002381
5,Стрелецкий,"Стрелецкая ул., 7, Калининград",54.718250010497,20.544769969091
6,Клавдия,"ул. Павлова, 21, Ленинградский район, микрорайон Северная Гора",54.724216964332,20.587523563741
7,Вилла Северин,"Ленинградская ул., 9А",54.732000019742,20.521069970225
8,Friday Center,"просп. Победы, 189Б, Калининград",54.70919998582,20.434349961781
9,Витязь,"наб. Петра Великого, 1",54.706630010487,20.500570014352
10,Салвэ,"ул. Тенистая Аллея, 21А",54.725146554907,20.409967566982
11,Алина,"Физкультурная ул., 5",54.711670006957,20.543870004147
12,Ратсхоф,"ул. Белинского, 3",54.717109987846,20.452670036095
13,Вилла Надежда,"ул. Лескова, 36А",54.737090014264,20.528319981195
14,Робинзон,"ул. Достоевского, 22А",54.73804001917,20.530970003703
15,Вилла Татьяна,"ул. Тургенева, 12",54.733439988798,20.517359972241
16,Старый Дворик,"Советский просп., 63",54.731840009211,20.487270029489
17,Калина,"ул. Аллея Смелых, 145, этаж 2",54.672299998194,20.521269962434
18,Апартаменты на Арсенальной,"Арсенальная ул., 3",54.745159984913,20.543779982507
19,Скворечник,"Верхнеозёрная ул., 16А",54.730310018514,20.522030033414
20,Вилла Татьяна,"Арсенальная ул., 9",54.745779994291,20.544850016267
21,Комфорт,"ул. Сержанта Мишина, 56В",54.721839979627,20.433400040694
22,Максим,"ул. Радистов, 52",54.720109996721,20.439540036227
