,Name,address,latitude,longitude
0,Vfs Global,"ул. 1812 года, 126",54.711149993684,20.536749996495
1,39 Виз,"Ленинский просп., 7, офис 3.28, этаж 3",54.71781000249,20.502570020269
2,Вест Стрим,"площадь Победы, 4, подъезд 5, офис 210-214, этаж 2",54.720830002204,20.499880016083
3,VisaMetric,"площадь Победы, 10, офис 412, этаж 4",54.719599999822,20.503890002381
4,Глобус 39,"Стекольная ул., 48, этаж 3",54.710589998733,20.536099979904
5,Открытая Европа,"ул. Фестивальная Аллея, 8, офис 7, этаж 3",54.724570007401,20.414760029137
6,Намми,"ул. Юрия Гагарина, 106, этаж 1, офис 5",54.729670018297,20.562580004596
7,Виза-консультант,"ул. Фрунзе, 105, офис 203, этаж 2",54.713670012873,20.533609967927
8,Визовый центр Испании,"Геологическая ул., 1, этаж 2, офис 27",54.714385796255,20.500676288661
9,Первый Визовый центр,"ул. Черняховского, 15, лит.Б, офис 4, этаж 2",54.721700001844,20.513440007583
10,Континенталь,"Пролетарская ул., 92",54.720730006099,20.515110017972
11,Germany visa center,"Театральная ул., 35, этаж 6",54.717749988063,20.497260000788
12,Visa. Expert,"Ленинский просп., 13А, офис 300",54.717669982797,20.503379963573
13,Визовый страховой центр,"ул. Дмитрия Донского, 7, офис 120, этаж 1",54.714590010566,20.48860996053
14,Пилигрим,"ул. Горького, 55, павильон 51, этаж 1",54.72119997941,20.592480013423
15,Укати,"ул. 1812 года, 126, офис 8, этаж 2",54.711149993684,20.536749996495
16,Nammi,"площадь Победы, 4А, офис 406, этаж 4",54.721149981358,20.501139983768
17,Центр оформления документов,"Театральная ул., 35, офис 102, этаж 1",54.717749988063,20.497260000788
18,Документальный центр,"ул. 1812 года, 126",54.711149993684,20.536749996495
19,Визовый сервис,"площадь Победы, 4, этаж 1",54.720830002204,20.499880016083
20,Северо-запад,"ул. Богдана Хмельницкого, 59, этаж 1, офис 130",54.697310004708,20.509430021285
21,Документально-визовый центр,"ул. Энгельса, 52А, стр. 1",54.721810014323,20.460460009268
22,Помощь в оформлении виз и загранпаспортов,"Пролетарская ул., 131Е, офис 1",54.724664370245,20.515134530837
23,Амстердам Трэвел,"площадь Победы, 4, подъезд 1, этаж 3, комната 24",54.720830002204,20.499880016083
24,Помощь в оформлении виз и загранпаспортов,"ул. Олега Кошевого, 11",54.675209985429,20.514639960842
25,Единый Визовый центр,"Благовещенская ул., 26, Вологда, офис 201",59.220989998067,39.880800014306
26,Визовый центр Греции,"ул. Тимирязева, 28В, Алматы, БЦ Алатау Гранд, этаж 1, офис 104",43.35831,77.14119
27,Юсвит,"ул. Младшего Лейтенанта Ротко, 1А, этаж 2",54.698650019569,20.507270004836
28,Первый Визовый центр,"ул. Народного Ополчения, 43, корп. 2, Москва, этаж 2, офис 24",55.792530000113,37.490349960276
29,Единый визовый центр,"Кутузовский просп., 36, стр. 3, Москва, этаж 3, офис 450",55.740790020554,37.524590034748
30,Vfs Global,"ул. Фрунзе, 1, корп. 4, Омск, этаж 7, офис 713",54.712036134811,20.520555233691
31,Единый визовый центр,"Варварская ул., 14, Нижний Новгород, этаж 1",56.3236800145,44.010000025858
32,Визовый центр Континент,"Кировоградская ул., 9, корп. 4, Москва, этаж 2, комната 223",54.754969996752,20.459879981568
33,Визовый центр Германии,"Киевская ул., 2, Москва, подъезд 5",54.68293001162,20.459410008257
34,Региональный визовый центр,"просп. Ленина, 12Б, Чебоксары, офис 310, этаж 3",56.127939986125,47.247309967525
35,Единый визовый центр,"ул. Новый Арбат, 36, стр. 3, Москва, этаж 1",55.753710011837,37.576939965401
36,Визовый центр Испании,"Калужская площадь, 1, корп. 2, Москва, ТЦ Европа, этаж 1",55.727860012896,37.613840036846
37,Твой тур,"ул. Генделя, 5, офис 218, этаж 2",54.721810014323,20.496100029208
38,Визовый сервисный центр VFS Global,"Пролетарская ул., 93, Барановичи",53.143829988848,26.007470007058
39,Объединенный визовый центр,"ул. В.И. Ленина, 9, Волгоград, собственный вход",48.705870000974,44.513809990377
40,Vfs Global,"ул. Гоголя, 6, Петрозаводск",61.785139991802,34.365700005724
41,VisaMetric,"ул. Радищева, 6А, Екатеринбург",56.831190002538,60.598849989753
42,Септима,"Больничная ул., 30",54.712210011069,20.50342002907
43,Business Travel,"площадь Победы, 10, офис 515, этаж 5",54.719599999822,20.503890002381
44,Vfs Global,"ул. Карла Либкнехта, 13, Мурманск",68.976980009571,33.090829967098
45,Визовый центр Польши и Литвы,"ул. имени Н.И. Вавилова, 38/114, Саратов",51.5352900054,46.010169976396
46,Vfs Global,"ул. Академика Павлова, 64, Центральный внутригородской округ, микрорайон Дубинка, Краснодар, этаж 1",45.021340011163,39.005599990024
47,VFS Global,"Московская ул., 38, Ростов-на-Дону, этаж 1",47.216470012076,39.704660018768
48,Мульти Визовый центр,"Московская ул., 208А, Брест, ТЦ Домус, этаж 1",52.096879990817,23.742280036091
49,"Польский, Эстонский, Венгерский, Литовский сервисный визовый центр","ул. Александра Невского, 1, Симферополь",44.952909986001,34.09979996928
50,Многофункциональный визовый центр,"Большой Овчинниковский пер., 16, Москва, этаж 2",55.744500018537,37.630139988675
51,Vfs Global,"просп. Чайковского, 27/32, Тверь, этаж 3, офис 319А",54.723969988862,20.492200013479
52,Единый туристическо-визовый центр,"Куркинское ш., с2, Химки, БЦ Аэро Сити",54.70907,20.50928
53,Визовый центр,"Социалистическая ул., 79, Ростов-на-Дону",47.220019999528,39.71247002469
54,Первый визовый центр,"ул. Бабура, 74, Ташкент",56.31405,55.40758
55,Визовый центр Korea,"Комсомольский просп., 7/1, Люберцы, ТЦ Малина, этаж 2",55.68783,37.89865
56,Единый Визовый центр,"Литейный просп., 30, Санкт-Петербург",59.940570015433,30.348820011294
57,Единый визовый центр,"ул. Нукус, 29, Ташкент",56.31405,55.40758
58,Объединенный Визовый центр,"ул. Крисанова, 26, Пермь, этаж 2",58.004189994188,56.214929975669
59,Первый Визовый Туристический центр,"Литейный просп., 26, Санкт-Петербург, офис 106А",59.941900013919,30.348929981864
60,Визовый центр Португалии,"Советская ул., 21А, корп. 1, Кострома, этаж 1, офис 112",54.716530296364,20.590814791019
61,Визовый центр,"просп. Мира, 40, Москва, этаж 4",54.71945,20.48748
62,Виза Про,"ул. Кирова, 29, Новосибирск, офис 901, этаж 9",54.725379992614,20.490620024731
63,Первый Визовый центр - Новосибирск,"ул. Веры Хоружей, 1А, Минск, этаж 4, офис 407",53.916299982889,27.579599967031
64,Визовый Минск,"ул. Суворова, 306, Гродно, оф. 2",53.650881078117,23.787002927031
65,VFS Global,"ул. Карла Маркса, 25, Минск, офис 3",53.897619116295,27.556643342374
66,Визовый центр Гродно,"Каширское ш., 3, корп. 2, стр. 4, Москва, БЦ Сириус Парк, этаж 2",55.672500015084,37.631489978
67,Визовая поддержка Vashavisa.by Вашавиза,"Чистопрудный бул., 5, Москва",55.763709999511,37.642359965314
68,Vfs Global,"Стремянная ул., 21/5, Санкт-Петербург, этаж 3-4",59.930289988374,30.354049983599
69,VisaProfCenter,"Ставропольская ул., 124А, Центральный округ, микрорайон Черёмушки, Краснодар",45.019888088781,39.00185422107
70,Визовый центр Китая,"Новинский бул., 11, Москва, офис 111",55.7534500052,37.582070025421
71,Vfs Global,"Москва, поселение Московский, Киевское шоссе, 22-й километр, 4, стр. 2, корп. Г, павильон 364Г",55.623080020595,37.407529967561
72,Многофункциональный Визовый центр,"ул. Бурхониддина Аль-Маргинони, 55, Фергана",54.70907,20.50928
73,Визовый центр США,"ул. Ирчи Казака, 4Б, Махачкала",42.966500019173,47.501420018962
74,Первый визовый центр,"Каширское ш., 3, корп. 2, стр. 4, Москва",55.672500015084,37.631489978
75,Главный Визовый Иммиграционный центр,"Новороссийская ул., 72, Армавир",44.992349983655,41.075520031655
76,Единый Визовый центр,"ул. Большакова, 70, Екатеринбург, офис 601, этаж 6",56.818980000363,60.613340037229
77,Визовый центр Болгарии,"Адмиралтейская ул., 15, Астрахань, этаж 3",46.351260001003,48.030390026062
78,Первый визовый центр,"Коллонтаевский пер., 89А, Азов, офис 303",47.105354470327,39.43096884367
79,Британский визовый центр,"ул. Красных Партизан, 152, Краснодар, офис 112, этаж 1",45.05065999229,38.958199992291
80,Первый визовый центр,"ул. Маркова, 43, Алматы, этаж 3, офис 135",43.229589980668,76.930639975206
81,Первый Визовый центр,"ул. Щепкина, 8, Москва, подъезд 1",54.670659995019,20.437599960918
82,Многофункциональный Визовый центр,"ул. Гагарина, 73, Липецк",52.620209982908,39.577609980282
83,Evisa Travel,"Большая Советская ул., 32, Кингисепп",59.379400005275,28.611400010349
84,МФЦ Визовый центр,"Московский просп., 40, Калининград, офис 216, этаж 2",54.709370012725,20.502689965303
85,Единый визовый центр,"2-й Сыромятнический пер., 1, Москва, БЦ Дельта Плаза",55.753869980459,37.662030028953
86,Сервисно-визовый Центр Эстонии,"Бобруйская ул., 6, Минск, этаж 5",53.89021001006,27.554149994419
87,БОН Шанс-Тур,"ул. Щепкина, 8, Москва",54.670659995019,20.437599960918
88,TLScontact,"Петровская ул., 106, Таганрог",47.221020002487,38.920860038568
89,Визовый центр Польши,"Нагатинская ул., 1, Москва",55.68245997917,37.625219979149
90,Визовый центр Визатейк,"ул. Земляной Вал, 36, Москва, этаж 2, офис 246",55.755839979162,37.656729983937
91,Первый Визовый центр,"Первомайская ул., 176А, Пинск",52.141589984364,26.098439975688
92,Визовый центр в Москве Vis.Online,"ул. Радюка, 2А, Лида",53.881380010341,25.299549971381
93,Генеральный визовый центр,"ул. Платонова, 13, Воронеж",51.657879991298,39.201729986445
94,Визовый сервис центр,"Астраханская ул., 114, Саратов",51.535379985131,46.009969984186
95,Визовый Сервис центр,"ул. Максима Горького, 87Б, Гродно",53.702697877556,23.818074282091
96,Единый визовый центр,"Троллейбусная ул., 24/2, Ростов-на-Дону, этаж 2",47.26773000195,39.761740025022
97,Визовый центр Дании,"ул. Сыганак, 47, Астана, офис 1509, этаж 15",51.122522424443,71.434140029568
98,Визовый центр,"Рязанский просп., 10, стр. 2, Москва, этаж 2, офис 217",55.725229981227,37.760159986913
99,Vfs Global,"6-я линия Васильевского острова, 31/29Б, Санкт-Петербург",59.944629999783,30.280629960019
100,Единый Визовый центр,"просп. Мира, 64, Москва, этаж 3",54.71945,20.48748
101,Первый Визовый центр,"Ветошный пер., 9, Москва, офис VSC, этаж 5",55.755609979739,37.621830002229
102,Единый Визовый центр,"ул. Горького, 68, Анапа",54.723170020023,20.593549963363
103,Визовый центр Франции,"ул. Жуковского, 102, Новосибирск, офис 504, этаж 5",55.056070003219,82.89001002111
104,Центр Визовых Услуг,"ул. Амангельды Иманова, 19, Астана, оф 59, этаж 11",51.164730005509,71.441840031856
105,Многофункциональный визовый центр,"ул. Белинского, 34, Екатеринбург, офис 203, этаж 2",56.831450009174,60.615259995971
106,Визаметрик,"Ставропольская ул., 87, Краснодар",54.748155916263,20.476686969939
107,Global Visa,"Курская ул., 4А, Подольск, этаж 1",55.428109995754,37.56106003074
108,Галант-Виза,"Советская ул., 49, Иваново, офис 20, этаж 2",54.716530296364,20.590814791019
109,Единый Визовый Центр,"4, микрорайон Купелинка, квартал Северный, д. Сапроново",54.735593022102,20.366432660833
110,Единый Визовый центр,"Ставропольская ул., 132, Краснодар, этаж 3",45.019930007411,39.003190025223
111,Первый Визовый центр,"ул. Чернышевского, 28, Пермь, офис 214, этаж 2",54.727750017647,20.473910030198
112,Единый Визовый центр,"ул. Фрунзе, 50, Омск",54.712900009338,20.529390014955
113,Визовый центр World Visa,"Молодёжная ул., 66, Барнаул, этаж 1",54.738869776667,20.516269807224
114,Первый визовый центр,"Первомайский просп., 56, Рязань, офис 210, этаж 2",54.629399992819,39.718989971894
115,Единый Визовый центр,"ул. Ленина, 30, Ижевск, офис 308, этаж 3",56.843879994398,53.213889958902
116,Единый визовый центр,"Девическая ул., 9, Владимир",56.128959979922,40.400540037267
117,Сервисно-визовый центр,"ул. Гикало, 5, Минск, офис 103, этаж 1",53.915060006042,27.591500006426
118,Визовый центр Ижевск,"Набережночелнинский просп., 54, Набережные Челны",55.716579982879,52.37024997937
119,Сервисно-Визовый центр Чехии,"ул. Большая Лубянка, 5, Москва",55.762380001025,37.627790038301
120,VisaVisa,"3-я Хорошёвская ул., 18, корп. 1, Москва",55.789329999028,37.502619976878
121,Единый Визовый центр,"ул. Святослава Храброго, 38А, Днепр",48.462759982079,35.03654998496
122,Визовый центр Греции,"ул. Овечкина, 1, Курск, этаж 1",51.722470015158,36.173190035007
123,Визовый центр,"просп. Толбухина, 8/75, Ярославль",57.620619981373,39.858719985866
124,Национальный визовый центр,"Коммунистическая ул., 4, Сыктывкар, офис 208, этаж 2-й",54.680019982476,20.482169976682
