,Name,address,latitude,longitude
0,Остров Канта,"ул. Шевченко, 2",54.7095799794,20.512510035426
1,Руины Королевского замка,"ул. Дзержинского, 30",54.6956590095,20.521955161096
2,Фридландские ворота,"ул. Виктора Гюго, 1",54.708119633931,20.505508681121
3,Янтарное сердце,"ул. Профессора Баранова, 2А",54.72012998756,20.502779986943
4,Башня Врангель,"Портовая ул., 39",54.704489984878,20.493350010595
5,Ворота крепости Фридрихсбург,"Ленинский просп., 83",54.705150017843,20.506840013204
6,Биржа Кенигсберга,"просп. Мира, 9/11",54.719480012879,20.495520001508
7,Дом китобоя,"ул. Багратиона, 137",54.697149994176,20.494760014347
8,Бранденбургские ворота,"ул. Горького, 98, этаж 2",54.732760006903,20.511029958963
9,Зорро Парк,"площадь Маршала Василевского, 3",54.721749999897,20.524019981047
10,Медовый мост,"Октябрьская ул., 8, Калининград",54.702200007021,20.515790041776
11,Росгартенские ворота,"ул. Богдана Хмельницкого, 61А",54.698149997135,20.509219970791
12,Рыбная деревня,"Октябрьская ул., 8",54.702200007021,20.515790041776
13,Кирха Святого Семейства,"ул. Шевченко, 2, корп. 5",54.710030003781,20.512780016527
14,Юбилейный мост,"ул. Литовский Вал, 61",54.709589995774,20.538169974712
15,Форт № 3 Король Фридрих III,"ул. Багратиона, 4",54.699130009254,20.517069958391
16,Дом Советов,"ул. Канта, 1",54.706430018277,20.512150032684
17,Площадь Победы,"Портовая ул., 3, Калининград",54.704059993245,20.503469985213
18,Закхаймские ворота,"Гвардейский просп., 22А, Калининград",54.712319981639,20.490490021412
19,Шлюз,"ул. Канта, 1, Калининград",54.706430018277,20.512150032684
20,Форт № 11 Дёнхофф,"площадь Маршала Василевского, 1, Калининград",54.72227001317,20.523020019998
21,Домик Смотрителя,"просп. Калинина, 2, Калининград",54.694359993885,20.504800025609
22,Иммануил Кант,"ул. Литовский Вал, 38, Калининград",54.716840006745,20.532470029095
23,Стена на Верхнем озере,"Судостроительная ул., 6, Калининград",54.6810999907,20.487129967887
24,Янтарная мануфактура,"ул. Тенистая Аллея, 39Б, Калининград",55.91417,37.82556
25,Аусфальские ворота,"Мореходная ул., 6, Калининград",54.70085999216,20.506020011616
26,Центр Кёнигсберга 1930 года в миниатюре,"просп. Победы, 41, Калининград",54.71480001915,20.465240041011
27,Башня Дона,"ул. Рокоссовского, 20, Калининград",54.719270004294,20.509950034558
28,Равелин Хаберберг,"Октябрьская ул., 2А, Калининград",54.705090003416,20.514469975845
29,Оборонительная казарма Кронпринц,"площадь Победы, 4, Калининград",54.720830002204,20.499880016083
30,Кёнигсбергская обсерватория,"Гвардейский просп., 22, Калининград",54.713390015398,20.490680039157
31,Пивоваренный завод Понарт,"ул. Марины Расковой, 23, Калининград",54.719879997298,20.468449974651
32,Форт № 5а Лендорф,"Пролетарская ул., 92, Калининград",54.720730006099,20.515110017972
33,Юдиттен кирха,"просп. Калинина, 4, Калининград",54.694800001893,20.514559997485
34,Госпиталь святого Георга,"Ленинский просп., 65А, Калининград",54.713030012656,20.509339999645
35,Кирха святого Адальберта,"Портовая ул., 39, Калининград",54.704489984878,20.493350010595
36,Палестра Альбертина,"площадь Маршала Василевского, 1, Калининград",54.72227001317,20.523020019998
37,Смотровая башня Маяк,"просп. Победы, 24, Калининград",54.716080019584,20.466980040291
