,Name,address,latitude,longitude
0,"Radisson Blu Hotel, Kaliningrad","площадь Победы, 10",54.719599999822,20.503890002381
1,Европа,"Театральная ул., 30, Калининград",54.717749988063,20.498990025604
2,Гостиница Калининград,"Ленинский просп., 81",54.71219002023,20.509639987959
3,Чайковский,"ул. Чайковского, 43",54.725939987565,20.483100032659
4,Вилла Тоскана,"ул. Пушкина, 15",54.716899979262,20.473629990813
5,Китай-город,"Московский просп., 175",54.710700011212,20.547480006026
6,Мартон Пелас,"Большевистский пер., 3",54.696850005862,20.50497998507
7,Тихая Гавань,"Малоярославская ул., 18А",54.720179985613,20.548839969816
8,Апартаменты Европа Парк,"ул. Александра Невского, 218А",54.758062906792,20.544049868112
9,Турист,"ул. Генерал-Лейтенанта Озерова, 40",54.72555001952,20.513240015373
10,Ibis,"Московский просп., 52",54.709099989715,20.506859962133
11,Holiday Inn Kaliningrad,"ул. Виктора Гюго, 1",54.708119633931,20.505508681121
12,Кайзерхоф,"Октябрьская ул., 6А",54.702970010556,20.515609998496
13,Mercure,"Озёрный пр., 2",54.721500009634,20.516560003402
14,Гостиница Москва,"просп. Мира, 21",54.719489987343,20.486989990104
15,Берлин,"Киевская ул., 17Б",54.689560013213,20.497810021275
16,Турист,"ул. Александра Невского, 53",54.731740013106,20.530760037029
17,Витязь,"наб. Петра Великого, 1",54.706630010487,20.500570014352
18,Маяк,"Солдатская ул., 2",54.738140015275,20.481030037851
19,Шкиперская,"Октябрьская ул., 4А, Калининград",54.704740017049,20.515050003545
20,Параисо,"ул. Тургенева, 32А, Калининград",54.736479979351,20.522249974554
21,Чайка,"Зоологический тупик, 10, Калининград",54.723880009131,20.489949975391
22,Черепаха,"ул. Подполковника Иванникова, 8, Район Ленинградский",54.717890007756,20.506329974395
23,Орион,"ул. Коперника, 2",54.710500019002,20.506310025466
24,Коперник,"ул. Сергеева, 4",54.715100007465,20.515740001814
25,Crystal House Suite Hotel&SPA,"Октябрьская ул., 2",54.705229981199,20.514420019702
26,У Медового моста,"Верхнеозёрная ул., 11",54.730319992979,20.519640017543
27,Обертайх,"ул. Богдана Хмельницкого, 53, этаж 1",54.697349986386,20.508499965308
28,Риверсайд,"площадь Маршала Василевского, 2",54.719849990085,20.523610022163
29,Золотая бухта,"ул. Карла Маркса, 10, этаж 2",54.728820009496,20.483539998756
30,Дона,"Стрелецкая ул., 7, Калининград",54.718250010497,20.544769969091
31,Бриз,"ул. Чкалова, 31А",54.726579987782,20.459099961659
32,Стрелецкий,"Монетная ул., 3, Калининград",54.750359991915,20.497610029065
33,Фридрихсхофф,"ул. Генделя, 10",54.722120019012,20.496419966452
34,Shtenvald,"ул. Верещагина, 5",54.738703518324,20.507229745805
35,Quokka,"Коломенская ул., 27",54.713210014027,20.472410004806
36,Vanva Apartments,"ул. Каштановая Аллея, 1В",54.752321407369,20.450535725999
37,Smile,"ул. Гоголя, 17",54.732020010581,20.52260000283
38,На Каштановой,"ул. Генерал-Лейтенанта Озерова, 24А",54.724520009348,20.508020017533
39,Обертайх Люкс,"Верхнеозёрная ул., 26",54.732469993053,20.526869995765
40,Шерлок,"Советский просп., 230, этаж 4",54.748380018747,20.459890039852
41,Гламур,"ул. 1812 года, 126, подъезд 1",54.711149993684,20.536749996495
42,Maziiz,"ул. Тенистая Аллея, 21А, Калининград",55.91417,37.82556
43,Crown39,"Северная ул., 12",54.670180005333,20.557829980067
44,Салвэ,"Советский просп., 285, Калининград",54.760829994809,20.440619960632
45,Константа,"просп. Победы, 189Б, Калининград",54.70919998582,20.434349961781
46,Навигатор,"ул. Павлова, 21, Ленинградский район, микрорайон Северная Гора",54.724216964332,20.587523563741
47,Friday Center,"Римская ул., 33, корп. 2",54.723750005813,20.538310036314
48,Клавдия,"ул. Чайковского, 17, подъезд 1",54.723750005813,20.494739981599
49,Longin,"Комсомольская ул., 17",54.723179994488,20.478459978699
50,Ганза,"ул. Тургенева, 12",54.733439988798,20.517359972241
51,Sofa - boutique apartment's,"Коммунистическая ул., 4А, этаж 2",54.680079996903,20.48278998606
52,Вилла Татьяна,"Артиллерийская ул., 62лит1",54.732890010221,20.554200029259
53,Пруссия,"ул. Виктора Гюго, 1, этаж 8",54.709422728373,20.506148150136
54,Академическая,"ул. Демьяна Бедного, 2Б",54.743100006479,20.513589959831
55,Ластадие,"Колхозная ул., 6",54.744979983543,20.527550019569
56,Votre Maison,"Озёрная ул., 25А",54.739411375628,20.349990223028
57,Котбус,"ул. Достоевского, 22А",54.73804001917,20.530970003703
58,Патриот,"Советский просп., 63",54.731840009211,20.487270029489
59,Робинзон,"ул. Лескова, 36А",54.737090014264,20.528319981195
60,Старый Дворик,"Физкультурная ул., 5",54.711670006957,20.543870004147
61,Вилла Надежда,"Ялтинская ул., 61А",54.705844446999,20.549474662365
62,Алина,"Линейная ул., 11А",54.726349988359,20.523910010477
63,Золотая ночь,"Арсенальная ул., 3",54.745159984913,20.543779982507
64,Вилла Татьяна,"ул. Пугачёва, 13",54.723240008915,20.472530033659
65,Апартаменты на Арсенальной,"ул. Белинского, 3",54.717109987846,20.452670036095
66,Чайка,"ул. Тенистая Аллея, 71",54.725146554907,20.409967566982
67,Ратсхоф,"Уральская ул., 20, этаж 1",54.723939981649,20.501690004255
68,Villa Art Deco Анна,"Верхнеозёрная ул., 16А",54.730310018514,20.522030033414
69,Отель в центре города на Уральской,"ул. Аллея Смелых, 187",54.668401579107,20.517536333327
70,Вилла Татьяна,"Ленинский просп., 81",54.71219002023,20.509639987959
71,Парк Отель,"ул. Щорса, 16А",54.730679995721,20.473339976963
72,Калининград,"ул. 9 Апреля, 88А",54.719140000976,20.525719998649
73,Бэсэдэр,"Московский просп., 175",54.710700011212,20.547480006026
74,Асгард,"Красная ул., 136",54.735240002505,20.474250000191
75,Marton Olimpic,"Луговая ул., 9",54.716280011794,20.569029962909
76,Гладиатор,"Физкультурная ул., 22, подъезд 1",54.712959981855,20.544450031847
77,Статус,"ул. Аллея Смелых, 145, этаж 2",54.672299998194,20.521269962434
78,Сударь,"Железнодорожная ул., 15",54.694559986095,20.498570008436
79,Калина,"ул. Сергея Тюленина, 8",54.710310001257,20.5205699897
80,Smart Hotel Kdo Калининград,"Арсенальная ул., 9",54.745779994291,20.544850016267
81,Azimut Inn,"ул. Генерал-Фельдмаршала Румянцева, 3, корп. 1",54.713139983226,20.486840037856
82,Комфорт,"ул. Сурикова, 17А",54.737099988729,20.554749965926
83,Феникс,"Красносельская ул., 60",54.717430008909,20.443550022525
84,Вилла Татьяна,"Московский просп., 184",54.709019984449,20.550739979628
85,Островок,"Таганрогская ул., 13",54.752689993359,20.548720024782
86,КенигАвто,"ул. Ивана Сусанина, 46",54.754279998482,20.491289990252
87,Анатолия,"ул. Тельмана, 14Б",54.732120006686,20.520439986382
88,Эрмитаж,"ул. 9 Апреля, 88А",54.719140000976,20.525719998649
89,Ника,"ул. Памяти Павших в Афганистане, 24",54.731895024973,20.4955968357
90,Гросс Хаус,"ул. Горького, 164",54.746020010089,20.501840040321
91,Crown39 - Strela,"ул. 9 Апреля, 88А",54.719140000976,20.525719998649
92,Apart39,"ул. Сержанта Мишина, 56В",54.721839979627,20.433400040694
93,Apartments Parkgarten,"ул. Радистов, 52А",54.719960002564,20.440019984003
94,Максим,"Портовая ул., 55",54.698280000453,20.476749986632
95,У Каштана,"ул. Радистов, 52",54.720109996721,20.439540036227
96,Порт 55,"Транспортная ул., 6",54.693470003406,20.447330009401
97,Душевное пространство,"ул. Тельмана, 5",54.731339986777,20.517530041056
98,Янтарь,"ул. Достоевского, 19",54.737489998684,20.530229965472
99,Верхнее Озеро,"ул. Профессора Севастьянова, 8",54.714840000828,20.509170014648
100,Пушкин Холл,"Совхозная ул., 4, посёлок Шоссейное",54.738231866809,20.563280213273
101,Wanderlust Inn,"Приозёрная ул., 9Б, посёлок Дорожное",54.643237437399,20.513912321056
102,Зеркальный карп,"4-я Большая Окружная ул., 35",54.748908167713,20.559637143779
103,Галкин Двор,"ул. 9 Апреля, 86А",54.713054200888,20.522501688184
104,Центр отдыха Баньки,"Земельная ул., 8-8А",54.731679998679,20.512650013209
105,Поделам,"ул. Партизана Железняка, 1",54.728460006755,20.538910012943
106,Апарт-отель Калининград,"Мариупольская ул., 16",54.707940018134,20.499280039454
107,Светлана,"ул. Генерала Буткова, 20",54.708290808202,20.49459631033
108,Гросс Хаус,"Октябрьская ул., 37",54.701859995118,20.517349997776
109,Апарт-отель Калининград,"ул. Генерала Галицкого, 6",54.716260020955,20.499020032817
110,Апартаменты на Октябрьской и Верхнем озере,"ул. Д. Бедного, 2Б",54.70907,20.50928
111,Апартаменты Калининград,"ул. Гайдара, 116",54.742740003738,20.500770006562
112,Без звёзд,"ул. Генерала Челнокова, 38",54.742399991836,20.487150000635
113,Crown39 - Gaidara,"ул. Горького, 96, 7",54.732089999473,20.512220021576
114,Мини-отель Vorderhof Rest,"Шахматная ул., 2",54.733990009285,20.554119982083
115,Elegant,"Университетская ул., 11",54.76962001285,20.514000002534
116,Апартаменты на Шахматной,"ул. Олега Кошевого, 34",54.673317769841,20.511581681515
117,Весна 1,"Тупиковая ул., 14",54.750969984918,20.443899966983
118,Гостиница Университетская 11,"ул. 9 Апреля, 62, этаж 5",54.716430005951,20.525840027503
119,Янтарь,"ул. Космонавта Леонова, 55к2",54.725459176793,20.481796725908
120,Уют,"Старопрегольская наб., 14",54.704450003199,20.511240009457
121,Апартаменты на 9 Апреля,"Ленинский просп., 67",54.713089985174,20.507779959826
122,Апартаменты Leon,"Первомайская ул., 5",54.733543868148,20.511127114831
